$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     1.008,   23.0000,    0.0000,    0.0000,    2.5000,
     1.100,   23.0009,    0.0987,    0.0001,    2.4961,
     1.206,   23.0018,    0.1979,    0.0002,    2.4922,
     1.300,   23.0027,    0.2919,    0.0002,    2.4885,
     1.400,   23.0037,    0.3958,    0.0003,    2.4843,
     1.500,   23.0048,    0.4959,    0.0005,    2.4803,
     1.600,   23.0059,    0.5984,    0.0015,    2.4764,
     1.705,   23.0070,    0.6971,    0.0023,    2.4725,
     1.807,   23.0082,    0.7987,    0.0033,    2.4684,
     1.900,   23.0096,    0.8950,    0.0038,    2.4644,
     2.000,   23.0111,    0.9934,    0.0043,    2.4602,
     2.100,   23.0120,    1.0959,    0.0049,    2.4558,
     2.204,   23.0128,    1.1952,    0.0057,    2.4516,
     2.306,   23.0138,    1.2966,    0.0064,    2.4473,
     2.400,   23.0148,    1.3929,    0.0074,    2.4431,
     2.500,   23.0158,    1.4899,    0.0084,    2.4391,
     2.600,   23.0168,    1.5920,    0.0097,    2.4360,
     2.703,   23.0178,    1.6917,    0.0109,    2.4328,
     2.804,   23.0190,    1.7927,    0.0123,    2.4286,
     2.900,   23.0205,    1.8892,    0.0146,    2.4213,
     3.000,   23.0230,    1.9901,    0.0166,    2.4177,
     3.100,   23.0252,    2.0855,    0.0192,    2.4127,
     3.202,   23.0285,    2.1844,    0.0232,    2.4074,
     3.304,   23.0323,    2.2839,    0.0282,    2.4019,
     3.400,   23.0359,    2.3791,    0.0333,    2.3965,
     3.500,   23.0391,    2.4792,    0.0386,    2.3915,
     3.600,   23.0411,    2.5737,    0.0427,    2.3880,
     3.701,   23.0430,    2.6723,    0.0467,    2.3837,
     3.802,   23.0450,    2.7718,    0.0514,    2.3774,
     3.900,   23.0478,    2.8667,    0.0590,    2.3686,
     4.000,   23.0519,    2.9618,    0.0706,    2.3660,
     4.100,   23.0558,    3.0610,    0.0827,    2.3649,
     4.202,   23.0587,    3.1553,    0.0912,    2.3601,
     4.305,   23.0620,    3.2551,    0.1004,    2.3554,
     4.400,   23.0656,    3.3496,    0.1114,    2.3515,
     4.500,   23.0701,    3.4493,    0.1260,    2.3477,
     4.600,   23.0745,    3.5420,    0.1404,    2.3437,
     4.702,   23.0801,    3.6380,    0.1580,    2.3377,
     4.806,   23.0902,    3.7352,    0.1919,    2.3368,
     4.900,   23.1004,    3.8265,    0.2223,    2.3355,
     5.000,   23.1087,    3.9195,    0.2445,    2.3316,
     5.100,   23.1176,    4.0163,    0.2647,    2.3273,
     5.205,   23.1260,    4.1098,    0.2815,    2.3229,
     5.307,   23.1340,    4.2057,    0.2960,    2.3182,
     5.400,   23.1420,    4.2958,    0.3107,    2.3139,
     5.500,   23.1486,    4.3892,    0.3218,    2.3089,
     5.600,   23.1544,    4.4858,    0.3305,    2.3035,
     5.704,   23.1610,    4.5790,    0.3415,    2.2984,
     5.808,   23.1685,    4.6744,    0.3549,    2.2933,
     5.900,   23.1752,    4.7629,    0.3657,    2.2884,
     6.000,   23.1826,    4.8535,    0.3779,    2.2839,
     6.100,   23.1902,    4.9459,    0.3908,    2.2797,
     6.203,   23.1949,    5.0375,    0.3974,    2.2739,
     6.302,   23.2002,    5.1326,    0.4044,    2.2685,
     6.400,   23.2045,    5.2215,    0.4103,    2.2637,
     6.500,   23.2059,    5.3164,    0.4128,    2.2579,
     6.600,   23.2095,    5.4122,    0.4201,    2.2543,
     6.703,   23.2145,    5.5055,    0.4313,    2.2517,
     6.804,   23.2208,    5.5984,    0.4467,    2.2492,
     6.900,   23.2278,    5.6884,    0.4680,    2.2472,
     7.000,   23.2349,    5.7787,    0.5002,    2.2449,
     7.100,   23.2472,    5.8608,    0.5624,    2.2444,
     7.203,   23.2553,    5.9455,    0.6346,    2.2439,
     7.302,   23.2640,    6.0272,    0.7230,    2.2447,
     7.400,   23.2715,    6.1084,    0.8262,    2.2465,
     7.500,   23.2772,    6.1884,    0.9336,    2.2486,
     7.600,   23.2834,    6.2684,    1.0590,    2.2522,
     7.702,   23.2917,    6.3446,    1.2258,    2.2590,
     7.800,   23.3021,    6.4164,    1.4219,    2.2674,
     7.900,   23.3157,    6.4863,    1.6565,    2.2770,
     8.000,   23.3276,    6.5562,    1.8928,    2.2866,
     8.100,   23.3349,    6.6204,    2.1665,    2.2985,
