$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     1.008,   23.0000,    0.0000,    0.0000,    2.5000,
     1.100,   23.0009,    0.0987,    0.0001,    2.4961,
     1.206,   23.0018,    0.1979,    0.0002,    2.4922,
     1.300,   23.0027,    0.2919,    0.0002,    2.4885,
     1.400,   23.0037,    0.3958,    0.0003,    2.4843,
     1.500,   23.0048,    0.4959,    0.0005,    2.4803,
     1.600,   23.0059,    0.5984,    0.0015,    2.4764,
     1.705,   23.0070,    0.6971,    0.0023,    2.4725,
     1.807,   23.0082,    0.7987,    0.0033,    2.4684,
     1.900,   23.0096,    0.8950,    0.0038,    2.4644,
     2.000,   23.0111,    0.9934,    0.0043,    2.4602,
     2.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.204,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.306,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.703,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.804,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.202,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.304,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.701,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.802,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.202,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.305,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.702,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.806,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.205,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.307,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.704,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.808,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.203,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.302,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.703,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.804,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.203,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
