$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     1.008,   23.0000,    0.0000,    0.0000,    2.5000,
     1.100,   23.0009,    0.0987,    0.0001,    2.4961,
     1.206,   23.0018,    0.1979,    0.0002,    2.4922,
     1.300,   23.0027,    0.2919,    0.0002,    2.4885,
     1.400,   23.0037,    0.3958,    0.0003,    2.4843,
     1.500,   23.0048,    0.4959,    0.0005,    2.4803,
     1.600,   23.0059,    0.5984,    0.0015,    2.4764,
     1.705,   23.0070,    0.6971,    0.0023,    2.4725,
     1.807,   23.0082,    0.7987,    0.0033,    2.4684,
     1.900,   23.0096,    0.8950,    0.0038,    2.4644,
     2.000,   23.0111,    0.9934,    0.0043,    2.4602,
     2.100,   23.0120,    1.0959,    0.0049,    2.4558,
     2.204,   23.0128,    1.1952,    0.0057,    2.4516,
     2.306,   23.0138,    1.2966,    0.0064,    2.4473,
     2.400,   23.0148,    1.3929,    0.0074,    2.4431,
     2.500,   23.0157,    1.4898,    0.0085,    2.4383,
     2.600,   23.0166,    1.5917,    0.0105,    2.4328,
     2.703,   23.0174,    1.6912,    0.0121,    2.4271,
     2.804,   23.0184,    1.7918,    0.0140,    2.4203,
     2.900,   23.0196,    1.8882,    0.0164,    2.4118,
     3.000,   23.0230,    1.9901,    0.0166,    2.4177,
     3.100,   23.0252,    2.0855,    0.0192,    2.4127,
     3.202,   23.0285,    2.1844,    0.0232,    2.4074,
     3.304,   23.0323,    2.2839,    0.0283,    2.4019,
     3.400,   23.0359,    2.3791,    0.0333,    2.3965,
     3.500,   23.0390,    2.4792,    0.0388,    2.3907,
     3.600,   23.0409,    2.5735,    0.0429,    2.3847,
     3.701,   23.0423,    2.6721,    0.0459,    2.3773,
     3.802,   23.0434,    2.7716,    0.0484,    2.3673,
     3.900,   23.0454,    2.8668,    0.0530,    2.3564,
     4.000,   23.0503,    2.9622,    0.0656,    2.3586,
     4.100,   23.0558,    3.0610,    0.0827,    2.3649,
     4.202,   23.0587,    3.1553,    0.0912,    2.3601,
     4.305,   23.0620,    3.2551,    0.1004,    2.3554,
     4.400,   23.0655,    3.3496,    0.1111,    2.3514,
     4.500,   23.0697,    3.4492,    0.1244,    2.3469,
     4.600,   23.0726,    3.5419,    0.1316,    2.3400,
     4.702,   23.0744,    3.6386,    0.1349,    2.3300,
     4.806,   23.0860,    3.7358,    0.1778,    2.3324,
     4.900,   23.1004,    3.8265,    0.2223,    2.3355,
     5.000,   23.1087,    3.9195,    0.2445,    2.3316,
     5.100,   23.1175,    4.0164,    0.2644,    2.3272,
     5.205,   23.1260,    4.1098,    0.2815,    2.3229,
     5.307,   23.1338,    4.2058,    0.2956,    2.3181,
     5.400,   23.1419,    4.2959,    0.3106,    2.3138,
     5.500,   23.1469,    4.3901,    0.3176,    2.3079,
     5.600,   23.1495,    4.4884,    0.3181,    2.3001,
     5.704,   23.1540,    4.5828,    0.3236,    2.2931,
     5.808,   23.1602,    4.6792,    0.3355,    2.2874,
     5.900,   23.1662,    4.7683,    0.3460,    2.2822,
     6.000,   23.1741,    4.8588,    0.3604,    2.2783,
     6.100,   23.1846,    4.9494,    0.3801,    2.2762,
     6.203,   23.1872,    5.0423,    0.3837,    2.2692,
     6.302,   23.1923,    5.1375,    0.3910,    2.2636,
     6.400,   23.1966,    5.2264,    0.3976,    2.2588,
     6.500,   23.1980,    5.3211,    0.4002,    2.2525,
     6.600,   23.2004,    5.4169,    0.4064,    2.2473,
     6.703,   23.2045,    5.5100,    0.4170,    2.2436,
     6.804,   23.2099,    5.6031,    0.4317,    2.2402,
     6.900,   23.2152,    5.6938,    0.4507,    2.2370,
     7.000,   23.2220,    5.7841,    0.4816,    2.2346,
     7.100,   23.2384,    5.8635,    0.5496,    2.2378,
     7.203,   23.2445,    5.9477,    0.6183,    2.2364,
     7.302,   23.2515,    6.0288,    0.7033,    2.2369,
     7.400,   23.2576,    6.1093,    0.8037,    2.2385,
     7.500,   23.2625,    6.1884,    0.9080,    2.2401,
     7.600,   23.2679,    6.2671,    1.0309,    2.2432,
     7.702,   23.2756,    6.3418,    1.1992,    2.2507,
     7.800,   23.2859,    6.4132,    1.3949,    2.2599,
     7.900,   23.3009,    6.4835,    1.6301,    2.2710,
