Derived constituent file for segment 11

JDAY,     TSS,    TISS,
     1.008,    0.0000,    2.5000,
     1.100,    2.4965,    2.4962,
     1.206,    2.4927,    2.4924,
     1.300,    2.4887,    2.4887,
     1.400,    2.4849,    2.4846,
     1.500,    2.4811,    2.4808,
     1.600,    2.4781,    2.4778,
     1.705,    2.4750,    2.4747,
     1.807,    2.4720,    2.4717,
     1.900,    2.4683,    2.4682,
     2.000,    2.4648,    2.4645,
     2.100,    2.4610,    2.4607,
     2.204,    2.4575,    2.4573,
     2.306,    2.4539,    2.4537,
     2.400,    2.4505,    2.4504,
     2.500,    2.4477,    2.4475,
     2.600,    2.4459,    2.4458,
     2.703,    2.4438,    2.4437,
     2.804,    2.4411,    2.4409,
     2.900,    2.4360,    2.4359,
     3.000,    2.4346,    2.4344,
     3.100,    2.4320,    2.4319,
     3.202,    2.4307,    2.4307,
     3.304,    2.4302,    2.4302,
     3.400,    2.4298,    2.4298,
     3.500,    2.4301,    2.4302,
     3.600,    2.4306,    2.4306,
     3.701,    2.4304,    2.4304,
     3.802,    2.4288,    2.4289,
     3.900,    2.4276,    2.4276,
     4.000,    2.4364,    2.4366,
     4.100,    2.4474,    2.4476,
     4.202,    2.4511,    2.4513,
     4.305,    2.4554,    2.4558,
     4.400,    2.4627,    2.4629,
     4.500,    2.4730,    2.4737,
     4.600,    2.4832,    2.4841,
     4.702,    2.4948,    2.4958,
     4.806,    2.5273,    2.5287,
     4.900,    2.5576,    2.5578,
     5.000,    2.5748,    2.5760,
     5.100,    2.5910,    2.5920,
     5.205,    2.6035,    2.6044,
     5.307,    2.6134,    2.6142,
     5.400,    2.6245,    2.6245,
     5.500,    2.6303,    2.6307,
     5.600,    2.6336,    2.6340,
     5.704,    2.6394,    2.6399,
     5.808,    2.6476,    2.6482,
     5.900,    2.6541,    2.6541,
     6.000,    2.6614,    2.6618,
     6.100,    2.6702,    2.6705,
     6.203,    2.6711,    2.6713,
     6.302,    2.6729,    2.6729,
     6.400,    2.6740,    2.6740,
     6.500,    2.6704,    2.6707,
     6.600,    2.6741,    2.6744,
     6.703,    2.6826,    2.6830,
     6.804,    2.6954,    2.6960,
     6.900,    2.7148,    2.7152,
     7.000,    2.7437,    2.7451,
     7.100,    2.8043,    2.8068,
     7.203,    2.8757,    2.8784,
     7.302,    2.9647,    2.9676,
     7.400,    3.0702,    3.0727,
     7.500,    3.1787,    3.1822,
     7.600,    3.3069,    3.3111,
     7.702,    3.4792,    3.4849,
     7.800,    3.6831,    3.6893,
     7.900,    3.9279,    3.9335,
     8.000,    4.1724,    4.1794,
     8.100,    4.4569,    4.4650,
     8.200,    4.8256,    4.8312,
     8.301,    5.2900,    5.2959,
     8.400,    5.8093,    5.8170,
     8.500,    6.3270,    6.3418,
     8.600,    6.8757,    6.8908,
     8.703,    7.4021,    7.4179,
     8.803,    8.0445,    8.0713,
     8.900,    8.9841,    9.0018,
     9.000,   10.0643,   10.0982,
     9.100,   10.9880,   11.0022,
     9.204,   11.5678,   11.5836,
     9.303,   11.9647,   11.9786,
     9.400,   12.3059,   12.3123,
     9.500,   12.5304,   12.5402,
     9.600,   12.7942,   12.8037,
     9.705,   13.1583,   13.1751,
     9.801,   13.6070,   13.6174,
     9.900,   13.9529,   13.9614,
    10.000,   14.2447,   14.2584,
    10.100,   14.5269,   14.5431,
    10.201,   14.7498,   14.7577,
    10.304,   14.9201,   14.9284,
    10.400,   15.0649,   15.0735,
    10.500,   15.0761,   15.0863,
    10.600,   15.4172,   15.4405,
    10.702,   15.8650,   15.8844,
    10.803,   16.3998,   16.4141,
    10.900,   16.9839,   16.9900,
    11.000,   17.4438,   17.4637,
    11.100,   17.7733,   17.7822,
    11.205,   17.9592,   17.9741,
    11.303,   18.0925,   18.1016,
    11.400,   18.2278,   18.2415,
    11.500,   18.3333,   18.3512,
    11.600,   18.3971,   18.4057,
    11.707,   18.6279,   18.6528,
    11.803,   19.0978,   19.1061,
    11.900,   19.1205,   19.1250,
    12.000,   19.1299,   19.1324,
