$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,     TSS,    TISS,
     1.008,    0.0000,    2.5000,
     1.100,    2.4965,    2.4962,
     1.206,    2.4927,    2.4924,
     1.300,    2.4887,    2.4887,
     1.400,    2.4849,    2.4846,
     1.500,    2.4811,    2.4808,
     1.600,    2.4781,    2.4778,
     1.705,    2.4750,    2.4747,
     1.807,    2.4720,    2.4717,
     1.900,    2.4683,    2.4682,
     2.000,    2.4648,    2.4645,
     2.100,  -99.0000,  -99.0000,
     2.204,  -99.0000,  -99.0000,
     2.306,  -99.0000,  -99.0000,
     2.400,  -99.0000,  -99.0000,
     2.500,  -99.0000,  -99.0000,
     2.600,  -99.0000,  -99.0000,
     2.703,  -99.0000,  -99.0000,
     2.804,  -99.0000,  -99.0000,
     2.900,  -99.0000,  -99.0000,
     3.000,  -99.0000,  -99.0000,
     3.100,  -99.0000,  -99.0000,
     3.202,  -99.0000,  -99.0000,
     3.304,  -99.0000,  -99.0000,
     3.400,  -99.0000,  -99.0000,
     3.500,  -99.0000,  -99.0000,
     3.600,  -99.0000,  -99.0000,
     3.701,  -99.0000,  -99.0000,
     3.802,  -99.0000,  -99.0000,
     3.900,  -99.0000,  -99.0000,
     4.000,  -99.0000,  -99.0000,
     4.100,  -99.0000,  -99.0000,
     4.202,  -99.0000,  -99.0000,
     4.305,  -99.0000,  -99.0000,
     4.400,  -99.0000,  -99.0000,
     4.500,  -99.0000,  -99.0000,
     4.600,  -99.0000,  -99.0000,
     4.702,  -99.0000,  -99.0000,
     4.806,  -99.0000,  -99.0000,
     4.900,  -99.0000,  -99.0000,
     5.000,  -99.0000,  -99.0000,
     5.100,  -99.0000,  -99.0000,
     5.205,  -99.0000,  -99.0000,
     5.307,  -99.0000,  -99.0000,
     5.400,  -99.0000,  -99.0000,
     5.500,  -99.0000,  -99.0000,
     5.600,  -99.0000,  -99.0000,
     5.704,  -99.0000,  -99.0000,
     5.808,  -99.0000,  -99.0000,
     5.900,  -99.0000,  -99.0000,
     6.000,  -99.0000,  -99.0000,
     6.100,  -99.0000,  -99.0000,
     6.203,  -99.0000,  -99.0000,
     6.302,  -99.0000,  -99.0000,
     6.400,  -99.0000,  -99.0000,
     6.500,  -99.0000,  -99.0000,
     6.600,  -99.0000,  -99.0000,
     6.703,  -99.0000,  -99.0000,
     6.804,  -99.0000,  -99.0000,
     6.900,  -99.0000,  -99.0000,
     7.000,  -99.0000,  -99.0000,
     7.100,  -99.0000,  -99.0000,
     7.203,  -99.0000,  -99.0000,
     7.302,  -99.0000,  -99.0000,
     7.400,  -99.0000,  -99.0000,
     7.500,  -99.0000,  -99.0000,
     7.600,  -99.0000,  -99.0000,
     7.702,  -99.0000,  -99.0000,
     7.800,  -99.0000,  -99.0000,
     7.900,  -99.0000,  -99.0000,
     8.000,  -99.0000,  -99.0000,
     8.100,  -99.0000,  -99.0000,
     8.200,  -99.0000,  -99.0000,
     8.301,  -99.0000,  -99.0000,
     8.400,  -99.0000,  -99.0000,
     8.500,  -99.0000,  -99.0000,
     8.600,  -99.0000,  -99.0000,
     8.703,  -99.0000,  -99.0000,
     8.803,  -99.0000,  -99.0000,
     8.900,  -99.0000,  -99.0000,
     9.000,  -99.0000,  -99.0000,
     9.100,  -99.0000,  -99.0000,
     9.204,  -99.0000,  -99.0000,
     9.303,  -99.0000,  -99.0000,
     9.400,  -99.0000,  -99.0000,
     9.500,  -99.0000,  -99.0000,
     9.600,  -99.0000,  -99.0000,
     9.705,  -99.0000,  -99.0000,
     9.801,  -99.0000,  -99.0000,
     9.900,  -99.0000,  -99.0000,
    10.000,  -99.0000,  -99.0000,
    10.100,  -99.0000,  -99.0000,
    10.201,  -99.0000,  -99.0000,
    10.304,  -99.0000,  -99.0000,
    10.400,  -99.0000,  -99.0000,
    10.500,  -99.0000,  -99.0000,
    10.600,  -99.0000,  -99.0000,
    10.702,  -99.0000,  -99.0000,
    10.803,  -99.0000,  -99.0000,
    10.900,  -99.0000,  -99.0000,
