$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TSS,    TISS,
     1.008,    0.0000,    2.5000,
     1.100,    2.4965,    2.4962,
     1.206,    2.4927,    2.4924,
     1.300,    2.4887,    2.4887,
     1.400,    2.4849,    2.4846,
     1.500,    2.4811,    2.4808,
     1.600,    2.4781,    2.4778,
     1.705,    2.4750,    2.4747,
     1.807,    2.4720,    2.4717,
     1.900,    2.4683,    2.4682,
     2.000,    2.4648,    2.4645,
     2.100,    2.4610,    2.4607,
     2.204,    2.4575,    2.4573,
     2.306,    2.4539,    2.4537,
     2.400,    2.4505,    2.4504,
     2.500,    2.4471,    2.4468,
     2.600,    2.4435,    2.4433,
     2.703,    2.4394,    2.4392,
     2.804,    2.4345,    2.4342,
     2.900,    2.4283,    2.4282,
     3.000,    2.4346,    2.4344,
     3.100,    2.4320,    2.4319,
     3.202,    2.4307,    2.4307,
     3.304,    2.4302,    2.4301,
     3.400,    2.4298,    2.4298,
     3.500,    2.4295,    2.4295,
     3.600,    2.4277,    2.4276,
     3.701,    2.4234,    2.4232,
     3.802,    2.4159,    2.4157,
     3.900,    2.4093,    2.4094,
     4.000,    2.4241,    2.4242,
     4.100,    2.4474,    2.4476,
     4.202,    2.4511,    2.4513,
     4.305,    2.4554,    2.4558,
     4.400,    2.4623,    2.4625,
     4.500,    2.4707,    2.4712,
     4.600,    2.4712,    2.4716,
     4.702,    2.4647,    2.4649,
     4.806,    2.5091,    2.5101,
     4.900,    2.5576,    2.5578,
     5.000,    2.5748,    2.5760,
     5.100,    2.5907,    2.5916,
     5.205,    2.6035,    2.6044,
     5.307,    2.6130,    2.6136,
     5.400,    2.6244,    2.6244,
     5.500,    2.6255,    2.6256,
     5.600,    2.6183,    2.6182,
     5.704,    2.6167,    2.6168,
     5.808,    2.6227,    2.6229,
     5.900,    2.6282,    2.6283,
     6.000,    2.6383,    2.6386,
     6.100,    2.6560,    2.6563,
     6.203,    2.6528,    2.6529,
     6.302,    2.6546,    2.6547,
     6.400,    2.6563,    2.6564,
     6.500,    2.6524,    2.6526,
     6.600,    2.6534,    2.6537,
     6.703,    2.6602,    2.6606,
     6.804,    2.6714,    2.6719,
     6.900,    2.6874,    2.6877,
     7.000,    2.7149,    2.7161,
     7.100,    2.7850,    2.7874,
     7.203,    2.8521,    2.8547,
     7.302,    2.9374,    2.9402,
     7.400,    3.0398,    3.0422,
     7.500,    3.1448,    3.1481,
     7.600,    3.2699,    3.2741,
     7.702,    3.4443,    3.4499,
     7.800,    3.6486,    3.6548,
     7.900,    3.8956,    3.9011,
     8.000,    4.1387,    4.1456,
     8.100,    4.4327,    4.4410,
     8.200,    4.8159,    4.8218,
     8.301,    5.2925,    5.2986,
     8.400,    5.8023,    5.8097,
     8.500,    6.2936,    6.3073,
     8.600,    6.7828,    6.7962,
     8.703,    7.2472,    7.2614,
     8.803,    7.8183,    7.8432,
     8.900,    8.6729,    8.6898,
     9.000,    9.6235,    9.6543,
     9.100,   10.4946,   10.5083,
     9.204,   11.1383,   11.1544,
     9.303,   11.5727,   11.5866,
     9.400,   11.9304,   11.9363,
     9.500,   12.1836,   12.1931,
     9.600,   12.4505,   12.4596,
     9.705,   12.7747,   12.7909,
     9.801,   13.1486,   13.1588,
     9.900,   13.4810,   13.4888,
    10.000,   13.7877,   13.8009,
    10.100,   14.0610,   14.0766,
    10.201,   14.2562,   14.2638,
    10.304,   14.4345,   14.4420,
    10.400,   14.5130,   14.5205,
    10.500,   14.5838,   14.5930,
    10.600,   14.9256,   14.9474,
    10.702,   15.3948,   15.4129,
    10.803,   15.9030,   15.9170,
    10.900,   16.4356,   16.4416,
    11.000,   16.8319,   16.8521,
    11.100,   16.9994,   17.0080,
    11.205,   17.1045,   17.1189,
    11.303,   17.1264,   17.1351,
    11.400,   17.1798,   17.1926,
    11.500,   17.2846,   17.3012,
    11.600,   17.2914,   17.2993,
    11.707,   17.4200,   17.4438,
    11.803,   17.6702,   17.6774,
    11.900,   17.4107,   17.4138,
