 "Temperature interval,","Fraction of volume"
 30.00,  0.0000E+00,
 29.00,  0.0000E+00,
 28.00,  0.0000E+00,
 27.00,  0.0000E+00,
 26.00,  0.0000E+00,
 25.00,  0.0000E+00,
 24.00,  0.0000E+00,
 23.00,  0.3296E-04,
 22.00,  0.1856E-02,
 21.00,  0.4340E-02,
 20.00,  0.9898E-02,
 19.00,  0.1507E-01,
 18.00,  0.1316E-01,
 17.00,  0.2015E-01,
 16.00,  0.2837E-01,
 15.00,  0.3209E-01,
 14.00,  0.4023E-01,
 13.00,  0.4406E-01,
 12.00,  0.3672E-01,
 11.00,  0.7535E+00,

 Sum of fractions,   0.9995E+00

 Average,   0.9034E+01
