 Fish habitat analysis: CE-QUAL-W2 model results
 
 Species, Temperature minimum, Temperature maximum, Dissolved oxygen minimum
RainbowTrout,               0.00,   18.00,    5.00
StripedBass,               10.00,   24.00,    5.00
Walleye,                   12.00,   24.00,    5.00
WhiteBass,                  0.00,   28.00,    3.00
SmallmouthBass,             0.00,   29.00,    4.00
SpottedBass,                0.00,   24.40,    6.00
GizzardShad,               10.00,   26.70,    6.00
LargemouthBass,            10.00,   30.00,    5.00
ChannelCatfish,            18.00,   31.00,    5.00
 
JDAY,%VOL-RainbowTrout,HAB-VOL(m3)-RainbowTrout,%VOL-StripedBass,HAB-VOL(m3)-StripedBass,%VOL-Walleye,HAB-VOL(m3)-Walleye,%VOL-WhiteBass,HAB-VOL(m3)-WhiteBass,%VOL-SmallmouthBass,HAB-VOL(m3)-SmallmouthBass,%VOL-SpottedBass,HAB-VOL(m3)-SpottedBass,%VOL-GizzardShad,HAB-VOL(m3)-GizzardShad,%VOL-LargemouthBass,HAB-VOL(m3)-LargemouthBass,%VOL-ChannelCatfish,HAB-VOL(m3)-ChannelCatfish,
     1.008,  100.00,  0.2003E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2003E+09,  100.00,  0.2003E+09,  100.00,  0.2003E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.100,  100.00,  0.2004E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2004E+09,  100.00,  0.2004E+09,  100.00,  0.2004E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.206,  100.00,  0.2006E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2006E+09,  100.00,  0.2006E+09,  100.00,  0.2006E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.300,  100.00,  0.2007E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2007E+09,  100.00,  0.2007E+09,  100.00,  0.2007E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.400,  100.00,  0.2009E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2009E+09,  100.00,  0.2009E+09,  100.00,  0.2009E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.500,  100.00,  0.2011E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2011E+09,  100.00,  0.2011E+09,  100.00,  0.2011E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.600,  100.00,  0.2013E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2013E+09,  100.00,  0.2013E+09,  100.00,  0.2013E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.705,  100.00,  0.2015E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2015E+09,  100.00,  0.2015E+09,  100.00,  0.2015E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.807,  100.00,  0.2018E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2018E+09,  100.00,  0.2018E+09,  100.00,  0.2018E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     1.900,  100.00,  0.2020E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2020E+09,  100.00,  0.2020E+09,  100.00,  0.2020E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     2.000,  100.00,  0.2024E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2024E+09,  100.00,  0.2024E+09,  100.00,  0.2024E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     2.100,  100.00,  0.2024E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2024E+09,  100.00,  0.2024E+09,  100.00,  0.2024E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     2.204,  100.00,  0.2024E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2024E+09,  100.00,  0.2024E+09,  100.00,  0.2024E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
