$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
     1.008,   33.987,           11.327,
     1.100,   33.987,           11.327,
     1.206,   33.987,           11.327,
     1.300,   33.987,           11.327,
     1.400,   33.987,           11.327,
     1.500,   33.987,           11.327,
     1.600,   33.987,           11.327,
     1.705,   33.987,           11.327,
     1.807,   33.987,           11.327,
     1.900,   33.987,           11.327,
     2.000,   33.987,           11.327,
     2.100,   74.635,            0.000,
     2.204,   76.080,            0.000,
     2.306,   76.080,            0.000,
     2.400,   76.080,            0.000,
     2.500,   76.080,            0.000,
     2.600,   76.080,            0.000,
     2.703,   76.080,            0.000,
     2.804,   76.080,            0.000,
     2.900,   76.080,            0.000,
     3.000,   76.080,            0.000,
     3.100,   89.025,            0.000,
     3.202,   84.300,            0.000,
     3.304,   84.300,            0.000,
     3.400,   84.300,            0.000,
     3.500,   84.300,            0.000,
     3.600,   84.300,            0.000,
     3.701,   84.300,            0.000,
     3.802,   84.300,            0.000,
     3.900,   84.300,            0.000,
     4.000,   84.300,            0.000,
     4.100,   78.600,            0.000,
     4.202,   78.600,            0.000,
     4.305,   78.600,            0.000,
     4.400,   78.600,            0.000,
     4.500,   78.600,            0.000,
     4.600,   78.600,            0.000,
     4.702,   78.600,            0.000,
     4.806,   78.600,            0.000,
     4.900,   78.600,            0.000,
     5.000,   78.600,            0.000,
     5.100,   73.540,            0.000,
     5.205,   73.540,            0.000,
     5.307,   73.540,            0.000,
     5.400,   73.540,            0.000,
     5.500,   73.540,            0.000,
     5.600,   73.540,            0.000,
     5.704,   73.540,            0.000,
     5.808,   73.540,            0.000,
     5.900,   73.540,            0.000,
     6.000,   73.540,            0.000,
     6.100,  128.468,            0.000,
     6.203,  107.060,            0.000,
     6.302,  107.060,            0.000,
     6.400,  107.060,            0.000,
     6.500,  107.060,            0.000,
     6.600,  107.060,            0.000,
     6.703,  107.060,            0.000,
     6.804,  107.060,            0.000,
     6.900,  107.060,            0.000,
     7.000,  107.060,            0.000,
     7.100,  221.736,            0.000,
     7.203,  179.180,            0.000,
     7.302,  179.180,            0.000,
     7.400,  179.180,            0.000,
     7.500,  179.180,            0.000,
     7.600,  179.180,            0.000,
     7.702,  179.180,            0.000,
     7.800,  179.180,            0.000,
     7.900,  179.180,            0.000,
     8.000,  179.180,            0.000,
     8.100,  252.020,            0.000,
     8.200,  252.035,            0.000,
     8.301,  252.040,            0.000,
     8.400,  252.040,            0.000,
     8.500,  252.050,            0.000,
     8.600,  252.050,            0.000,
     8.703,  252.058,            0.000,
     8.803,  252.070,            0.000,
     8.900,  252.070,            0.000,
     9.000,  252.070,            0.000,
     9.100,  252.076,            0.000,
     9.204,  252.062,            0.000,
     9.303,  252.060,            0.000,
     9.400,  252.050,            0.000,
     9.500,  252.050,            0.000,
     9.600,  252.050,            0.000,
     9.705,  252.042,            0.000,
     9.801,  252.040,            0.000,
     9.900,  252.036,            0.000,
    10.000,  252.030,            0.000,
    10.100,  214.948,            0.000,
    10.201,  153.880,            0.000,
    10.304,  153.880,            0.000,
    10.400,  153.880,            0.000,
    10.500,  153.880,            0.000,
    10.600,  153.880,            0.000,
    10.702,  153.880,            0.000,
    10.803,  153.880,            0.000,
    10.900,  153.880,            0.000,
    11.000,  153.880,            0.000,
    11.100,  124.160,            0.000,
    11.205,  124.160,            0.000,
    11.303,  124.160,            0.000,
    11.400,  124.160,            0.000,
    11.500,  124.160,            0.000,
    11.600,  124.160,            0.000,
    11.707,  124.160,            0.000,
    11.803,  124.160,            0.000,
    11.900,  124.160,            0.000,
    12.000,  124.160,            0.000,
    12.100,  119.080,            0.000,
    12.201,  119.080,            0.000,
    12.303,  119.080,            0.000,
    12.400,  119.080,            0.000,
    12.500,  119.080,            0.000,
    12.600,  119.080,            0.000,
    12.705,  119.080,            0.000,
    12.803,  119.080,            0.000,
    12.900,  119.080,            0.000,
    13.000,  119.080,            0.000,
    13.100,  111.500,            0.000,
    13.205,  111.500,            0.000,
    13.303,  111.500,            0.000,
    13.400,  111.500,            0.000,
    13.500,  111.500,            0.000,
    13.600,  111.500,            0.000,
    13.701,  111.500,            0.000,
    13.803,  111.500,            0.000,
    13.900,  111.500,            0.000,
    14.000,  111.500,            0.000,
    14.100,   98.220,            0.000,
    14.201,   98.220,            0.000,
    14.304,   98.220,            0.000,
    14.400,   98.220,            0.000,
    14.500,   98.220,            0.000,
    14.600,   98.220,            0.000,
    14.702,   98.220,            0.000,
    14.801,   98.220,            0.000,
    14.900,   98.220,            0.000,
    15.000,   98.220,            0.000,
    15.100,   86.820,            0.000,
