$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,QWD(m3s-1)
     1.008,   11.3270
     1.100,   11.3270
     1.206,   11.3270
     1.300,   11.3270
     1.400,   11.3270
     1.500,   11.3270
     1.600,   11.3270
     1.705,   11.3270
     1.807,   11.3270
     1.900,   11.3270
     2.000,   11.3270
     2.100,    0.0000
     2.204,    0.0000
     2.306,    0.0000
     2.400,    0.0000
     2.500,    0.0000
     2.600,    0.0000
     2.703,    0.0000
     2.804,    0.0000
     2.900,    0.0000
     3.000,    0.0000
     3.100,    0.0000
     3.202,    0.0000
     3.304,    0.0000
     3.400,    0.0000
     3.500,    0.0000
     3.600,    0.0000
     3.701,    0.0000
     3.802,    0.0000
     3.900,    0.0000
     4.000,    0.0000
     4.100,    0.0000
     4.202,    0.0000
     4.305,    0.0000
     4.400,    0.0000
     4.500,    0.0000
     4.600,    0.0000
     4.702,    0.0000
     4.806,    0.0000
     4.900,    0.0000
     5.000,    0.0000
     5.100,    0.0000
     5.205,    0.0000
     5.307,    0.0000
     5.400,    0.0000
     5.500,    0.0000
     5.600,    0.0000
     5.704,    0.0000
     5.808,    0.0000
     5.900,    0.0000
     6.000,    0.0000
     6.100,    0.0000
     6.203,    0.0000
     6.302,    0.0000
     6.400,    0.0000
     6.500,    0.0000
     6.600,    0.0000
     6.703,    0.0000
     6.804,    0.0000
     6.900,    0.0000
     7.000,    0.0000
     7.100,    0.0000
     7.203,    0.0000
     7.302,    0.0000
     7.400,    0.0000
     7.500,    0.0000
     7.600,    0.0000
     7.702,    0.0000
     7.800,    0.0000
     7.900,    0.0000
     8.000,    0.0000
     8.100,    0.0000
     8.200,    0.0000
     8.301,    0.0000
     8.400,    0.0000
     8.500,    0.0000
     8.600,    0.0000
     8.703,    0.0000
     8.803,    0.0000
     8.900,    0.0000
     9.000,    0.0000
     9.100,    0.0000
     9.204,    0.0000
     9.303,    0.0000
     9.400,    0.0000
     9.500,    0.0000
     9.600,    0.0000
     9.705,    0.0000
     9.801,    0.0000
     9.900,    0.0000
    10.000,    0.0000
    10.100,    0.0000
    10.201,    0.0000
    10.304,    0.0000
    10.400,    0.0000
    10.500,    0.0000
    10.600,    0.0000
    10.702,    0.0000
    10.803,    0.0000
    10.900,    0.0000
    11.000,    0.0000
    11.100,    0.0000
    11.205,    0.0000
    11.303,    0.0000
    11.400,    0.0000
    11.500,    0.0000
    11.600,    0.0000
    11.707,    0.0000
    11.803,    0.0000
    11.900,    0.0000
    12.000,    0.0000
    12.100,    0.0000
    12.201,    0.0000
    12.303,    0.0000
    12.400,    0.0000
    12.500,    0.0000
    12.600,    0.0000
    12.705,    0.0000
    12.803,    0.0000
    12.900,    0.0000
    13.000,    0.0000
    13.100,    0.0000
    13.205,    0.0000
    13.303,    0.0000
    13.400,    0.0000
    13.500,    0.0000
    13.600,    0.0000
    13.701,    0.0000
    13.803,    0.0000
    13.900,    0.0000
    14.000,    0.0000
    14.100,    0.0000
    14.201,    0.0000
    14.304,    0.0000
    14.400,    0.0000
    14.500,    0.0000
    14.600,    0.0000
    14.702,    0.0000
    14.801,    0.0000
    14.900,    0.0000
    15.000,    0.0000
    15.100,    0.0000
    15.201,    0.0000
    15.303,    0.0000
    15.400,    0.0000
    15.500,    0.0000
    15.600,    0.0000
    15.701,    0.0000
    15.807,    0.0000
    15.900,    0.0000
    16.000,    0.0000
    16.100,    0.0000
    16.202,    0.0000
    16.304,    0.0000
    16.400,    0.0000
    16.500,    0.0000
    16.600,    0.0000
    16.701,    0.0000
    16.803,    0.0000
    16.900,    0.0000
    17.000,    0.0000
    17.100,    0.0000
    17.201,    0.0000
    17.303,    0.0000
    17.400,    0.0000
    17.500,    0.0000
    17.600,    0.0000
    17.704,    0.0000
    17.803,    0.0000
    17.900,    0.0000
    18.000,    0.0000
    18.100,    0.0000
    18.201,    0.0000
    18.307,    0.0000
    18.400,    0.0000
    18.500,    0.0000
    18.600,    0.0000
    18.708,    0.0000
    18.801,    0.0000
    18.900,    0.0000
    19.000,    0.0000
    19.100,    0.0000
    19.208,    0.0000
    19.303,    0.0000
    19.400,    0.0000
    19.500,    0.0000
    19.600,    0.0000
    19.701,    0.0000
    19.803,    0.0000
    19.900,    0.0000
    20.000,    0.0000
    20.100,    0.0000
    20.201,    0.0000
    20.303,    0.0000
    20.400,    0.0000
    20.500,    0.0000
    20.600,    0.0000
    20.703,    0.0000
    20.801,    0.0000
    20.900,    0.0000
    21.000,    0.0000
    21.100,    0.0000
    21.201,    0.0000
    21.302,    0.0000
    21.400,    0.0000
    21.500,    0.0000
    21.600,    0.0000
    21.702,    0.0000
    21.802,    0.0000
    21.900,    0.0000
    22.000,    0.0000
    22.100,    0.0000
    22.208,    0.0000
    22.302,    0.0000
    22.400,    0.0000
    22.500,    0.0000
    22.600,    0.0000
    22.701,    0.0000
    22.802,    0.0000
    22.900,    0.0000
    23.000,    0.0000
    23.100,    0.0000
    23.201,    0.0000
    23.302,    0.0000
    23.400,    0.0000
    23.500,    0.0000
    23.600,    0.0000
    23.701,    0.0000
    23.802,    0.0000
    23.900,    0.0000
    24.000,    0.0000
    24.100,    0.0000
    24.202,    0.0000
    24.302,    0.0000
    24.400,    0.0000
    24.500,    0.0000
    24.600,    0.0000
    24.704,    0.0000
    24.802,    0.0000
    24.900,    0.0000
    25.000,    0.0000
    25.100,    0.0000
    25.202,    0.0000
    25.302,    0.0000
    25.400,    0.0000
    25.500,    0.0000
    25.600,    0.0000
    25.702,    0.0000
    25.802,    0.0000
    25.900,    0.0000
    26.000,    0.0000
    26.100,    0.0000
    26.202,    0.0000
    26.302,    0.0000
    26.400,    0.0000
    26.500,    0.0000
    26.600,    0.0000
    26.708,    0.0000
    26.802,    0.0000
    26.900,    0.0000
    27.000,    0.0000
    27.100,    0.0000
    27.201,    0.0000
    27.302,    0.0000
    27.400,    0.0000
    27.500,    0.0000
    27.600,    0.0000
    27.704,    0.0000
    27.802,    0.0000
    27.900,    0.0000
    28.000,    0.0000
    28.100,    0.0000
    28.208,    0.0000
    28.302,    0.0000
    28.400,    0.0000
    28.500,    0.0000
    28.600,    0.0000
    28.701,    0.0000
    28.802,    0.0000
    28.900,    0.0000
    29.000,    0.0000
    29.100,    0.0000
    29.208,    0.0000
    29.302,    0.0000
    29.400,    0.0000
    29.500,    0.0000
    29.600,    0.0000
    29.701,    0.0000
    29.802,    0.0000
    29.900,    0.0000
    30.000,    0.0000
    30.100,    0.0000
    30.202,    0.0000
    30.302,    0.0000
    30.400,    0.0000
    30.500,    0.0000
    30.600,    0.0000
    30.702,    0.0000
    30.802,    0.0000
    30.900,    0.0000
    31.000,    0.0000
    31.100,    0.0000
    31.202,    0.0000
    31.300,    0.0000
    31.400,    0.0000
    31.500,    0.0000
    31.600,    0.0000
    31.706,    0.0000
    31.802,    0.0000
    31.900,    0.0000
    32.000,    0.0000
    32.100,    0.0000
    32.208,    0.0000
    32.302,    0.0000
    32.400,    0.0000
    32.500,    0.0000
    32.600,    0.0000
    32.702,    0.0000
    32.802,    0.0000
    32.900,    0.0000
    33.000,    0.0000
    33.100,    0.0000
    33.202,    0.0000
    33.302,    0.0000
    33.400,    0.0000
    33.500,    0.0000
    33.600,    0.0000
    33.708,    0.0000
    33.802,    0.0000
    33.900,    0.0000
    34.000,    0.0000
    34.100,    0.0000
    34.202,    0.0000
    34.301,    0.0000
    34.400,    0.0000
    34.500,    0.0000
    34.600,    0.0000
    34.702,    0.0000
    34.801,    0.0000
    34.900,    0.0000
    35.000,    0.0000
    35.100,    0.0000
    35.208,    0.0000
    35.302,    0.0000
    35.400,    0.0000
    35.500,    0.0000
    35.600,    0.0000
    35.708,    0.0000
