$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,QWD(m3s-1)
     1.008,   11.3300
     1.100,   11.3300
     1.206,   11.3300
     1.300,   11.3300
     1.400,   11.3300
     1.500,   11.3300
     1.600,   11.3300
     1.705,   11.3300
     1.807,   11.3300
     1.900,   11.3300
     2.000,   11.3300
     2.100,   37.3175
     2.204,   38.0400
     2.306,   38.0400
     2.400,   38.0400
     2.500,   38.0400
     2.600,   38.0400
     2.703,   38.0400
     2.804,   38.0400
     2.900,   38.0400
     3.000,   38.0400
     3.100,   44.5127
     3.202,   42.1500
     3.304,   42.1500
     3.400,   42.1500
     3.500,   42.1500
     3.600,   42.1500
     3.701,   42.1500
     3.802,   42.1500
     3.900,   42.1500
     4.000,   42.1500
     4.100,   39.3000
     4.202,   39.3000
     4.305,   39.3000
     4.400,   39.3000
     4.500,   39.3000
     4.600,   39.3000
     4.702,   39.3000
     4.806,   39.3000
     4.900,   39.3000
     5.000,   39.3000
     5.100,   36.7700
     5.205,   36.7700
     5.307,   36.7700
     5.400,   36.7700
     5.500,   36.7700
     5.600,   36.7700
     5.704,   36.7700
     5.808,   36.7700
     5.900,   36.7700
     6.000,   36.7700
     6.100,   64.2339
     6.203,   53.5300
     6.302,   53.5300
     6.400,   53.5300
     6.500,   53.5300
     6.600,   53.5300
     6.703,   53.5300
     6.804,   53.5300
     6.900,   53.5300
     7.000,   53.5300
     7.100,  100.5746
     7.203,   89.5900
     7.302,   89.5900
     7.400,   89.5900
     7.500,   89.5900
     7.600,   89.5900
     7.702,   89.5900
     7.800,   89.5900
     7.900,   89.5900
     8.000,   89.5900
     8.100,  107.7113
     8.200,  107.7907
     8.301,  107.8656
     8.400,  107.9371
     8.500,  108.0188
     8.600,  108.0904
     8.703,  108.1640
     8.803,  108.2449
     8.900,  108.3169
     9.000,  108.3896
     9.100,  108.3583
     9.204,  108.2859
     9.303,  108.2249
     9.400,  108.1532
     9.500,  108.0904
     9.600,  108.0298
     9.705,  107.9564
     9.801,  107.8957
     9.900,  107.8285
    10.000,  107.7602
    10.100,   96.3519
    10.201,   76.9400
    10.304,   76.9400
    10.400,   76.9400
    10.500,   76.9400
    10.600,   76.9400
    10.702,   76.9400
    10.803,   76.9400
    10.900,   76.9400
    11.000,   76.9400
    11.100,   62.0800
    11.205,   62.0800
    11.303,   62.0800
    11.400,   62.0800
    11.500,   62.0800
    11.600,   62.0800
    11.707,   62.0800
    11.803,   62.0800
    11.900,   62.0800
    12.000,   62.0800
    12.100,   59.5400
    12.201,   59.5400
    12.303,   59.5400
    12.400,   59.5400
    12.500,   59.5400
    12.600,   59.5400
    12.705,   59.5400
    12.803,   59.5400
    12.900,   59.5400
    13.000,   59.5400
    13.100,   55.7500
    13.205,   55.7500
    13.303,   55.7500
    13.400,   55.7500
    13.500,   55.7500
    13.600,   55.7500
    13.701,   55.7500
    13.803,   55.7500
    13.900,   55.7500
    14.000,   55.7500
    14.100,   49.1100
    14.201,   49.1100
    14.304,   49.1100
    14.400,   49.1100
    14.500,   49.1100
    14.600,   49.1100
    14.702,   49.1100
    14.801,   49.1100
    14.900,   49.1100
    15.000,   49.1100
    15.100,   43.4100
    15.201,   43.4100
    15.303,   43.4100
    15.400,   43.4100
    15.500,   43.4100
    15.600,   43.4100
    15.701,   43.4100
    15.807,   43.4100
    15.900,   43.4100
    16.000,   43.4100
    16.100,   39.3000
    16.202,   39.3000
    16.304,   39.3000
    16.400,   39.3000
    16.500,   39.3000
    16.600,   39.3000
    16.701,   39.3000
    16.803,   39.3000
    16.900,   39.3000
    17.000,   39.3000
    17.100,   36.1400
    17.201,   36.1400
    17.303,   36.1400
    17.400,   36.1400
    17.500,   36.1400
    17.600,   36.1400
    17.704,   36.1400
    17.803,   36.1400
    17.900,   36.1400
    18.000,   36.1400
    18.100,   33.6100
    18.201,   33.6100
    18.307,   33.6100
    18.400,   33.6100
    18.500,   33.6100
    18.600,   33.6100
    18.708,   33.6100
    18.801,   33.6100
    18.900,   33.6100
    19.000,   33.6100
    19.100,   32.3400
    19.208,   32.3400
    19.303,   32.3400
    19.400,   32.3400
    19.500,   32.3400
    19.600,   32.3400
    19.701,   32.3400
    19.803,   32.3400
    19.900,   32.3400
    20.000,   32.3400
    20.100,   32.9800
    20.201,   32.9800
    20.303,   32.9800
    20.400,   32.9800
    20.500,   32.9800
    20.600,   32.9800
    20.703,   32.9800
    20.801,   32.9800
    20.900,   32.9800
    21.000,   32.9800
    21.100,   32.6600
    21.201,   32.6600
    21.302,   32.6600
    21.400,   32.6600
    21.500,   32.6600
    21.600,   32.6600
    21.702,   32.6600
    21.802,   32.6600
    21.900,   32.6600
    22.000,   32.6600
    22.100,   30.1900
    22.208,   30.1900
    22.302,   30.1900
    22.400,   30.1900
    22.500,   30.1900
    22.600,   30.1900
    22.701,   30.1900
    22.802,   30.1900
    22.900,   30.1900
    23.000,   30.1900
    23.100,   27.7900
    23.201,   27.7900
    23.302,   27.7900
    23.400,   27.7900
    23.500,   27.7900
    23.600,   27.7900
    23.701,   27.7900
    23.802,   27.7900
    23.900,   27.7900
    24.000,   27.7900
    24.100,   27.4100
    24.202,   27.4100
    24.302,   27.4100
    24.400,   27.4100
    24.500,   27.4100
    24.600,   27.4100
    24.704,   27.4100
    24.802,   27.4100
    24.900,   27.4100
    25.000,   27.4100
    25.100,   48.7544
    25.202,   39.9300
    25.302,   39.9300
    25.400,   39.9300
    25.500,   39.9300
    25.600,   39.9300
    25.702,   39.9300
    25.802,   39.9300
    25.900,   39.9300
    26.000,   39.9300
    26.100,   16.9900
    26.202,   16.9900
    26.302,   16.9900
    26.400,   16.9900
    26.500,   16.9900
    26.600,   16.9900
    26.708,   16.9900
    26.802,   16.9900
    26.900,   16.9900
    27.000,   16.9900
    27.100,   16.9900
    27.201,  108.2117
    27.302,  107.8977
    27.400,   65.3016
    27.500,   32.9800
    27.600,   32.9800
    27.704,   32.9800
    27.802,   32.9800
    27.900,   32.9800
    28.000,   32.9800
    28.100,   29.6900
    28.208,   29.6900
    28.302,   29.6900
    28.400,   29.6900
    28.500,   29.6900
    28.600,   29.6900
    28.701,   29.6900
    28.802,   29.6900
    28.900,   29.6900
    29.000,   29.6900
    29.100,   27.3100
    29.208,   27.3100
    29.302,   27.3100
    29.400,   27.3100
    29.500,   27.3100
    29.600,   27.3100
    29.701,   27.3100
    29.802,   27.3100
    29.900,   27.3100
    30.000,   27.3100
    30.100,   25.8000
    30.202,   25.8000
    30.302,   25.8000
    30.400,   25.8000
    30.500,   25.8000
    30.600,   25.8000
    30.702,   25.8000
    30.802,   25.8000
    30.900,   25.8000
    31.000,   25.8000
    31.100,   24.5494
    31.202,   23.3394
    31.300,   22.2172
    31.400,   21.1199
    31.500,   20.0597
    31.600,   19.0690
    31.706,   18.1250
    31.802,   17.2336
    31.900,   16.9900
    32.000,   16.9900
    32.100,   16.2008
    32.208,   15.3704
    32.302,   14.6021
    32.400,   14.1600
    32.500,   14.1600
    32.600,   14.1600
    32.702,   14.1600
    32.802,   14.1600
    32.900,   14.1600
    33.000,   14.1600
    33.100,   14.1600
    33.202,   14.1600
    33.302,   14.1600
    33.400,   14.1600
    33.500,   14.1600
    33.600,   14.1600
    33.708,   14.1600
    33.802,   14.1600
    33.900,   14.1600
    34.000,   14.1600
    34.100,   14.1600
    34.202,   14.1600
    34.301,   14.1600
    34.400,   14.1600
    34.500,   14.1600
    34.600,   14.1600
    34.702,   14.1600
    34.801,   14.1600
    34.900,   14.1600
    35.000,   14.1600
    35.100,   14.1600
    35.208,   14.1600
    35.302,   14.1600
    35.400,   14.1600
    35.500,   14.1600
    35.600,   14.1600
    35.708,   14.1600
    35.801,   14.1600
    35.900,   14.1600
    36.000,   14.1600
    36.100,   14.1600
    36.208,   14.1600
    36.301,   14.1600
    36.400,   14.1600
    36.500,   14.1600
    36.600,   14.1600
    36.703,   14.1600
    36.801,   14.1600
    36.900,   14.1600
    37.000,   14.1600
    37.100,   14.1600
    37.207,   14.1600
    37.301,   14.1600
    37.400,   14.1600
    37.500,   14.1600
    37.600,   14.1600
    37.703,   14.1600
    37.801,   14.1600
    37.900,   14.1600
    38.000,   14.1600
    38.100,   14.1600
    38.203,   14.1600
    38.302,   14.1600
    38.400,   14.1600
    38.500,   14.1600
    38.600,   14.1600
    38.704,   14.1600
    38.802,   14.1600
    38.900,   14.1600
    39.000,   14.1600
    39.100,   14.1600
    39.207,   14.1600
    39.302,   14.1600
    39.400,   14.1600
    39.500,   14.1600
    39.600,   14.1600
    39.701,   14.1600
    39.802,   14.1600
    39.900,   14.1600
    40.000,   14.1600
    40.100,   14.1600
    40.205,   14.1600
    40.302,   14.1600
    40.400,   14.1600
    40.500,   14.1600
    40.600,   14.1600
    40.702,   14.1600
    40.802,   14.1600
    40.900,   14.1600
    41.000,   14.1600
    41.100,   14.1600
    41.207,   14.1600
    41.301,   14.1600
    41.400,   14.1600
    41.500,   14.1600
    41.600,   14.1600
    41.708,   14.1600
    41.802,   14.1600
    41.900,   14.1600
    42.000,   14.1600
    42.100,   14.1600
    42.206,   14.1600
    42.300,   14.1600
    42.400,   14.1600
    42.500,   14.1600
    42.600,   14.1600
    42.702,   14.1600
    42.800,   14.1600
    42.900,   14.1600
    43.000,   14.1600
    43.100,   14.1600
    43.208,   14.1600
    43.302,   14.1600
    43.400,   14.1600
    43.500,   14.1600
    43.600,   14.1600
    43.703,   14.1600
    43.801,   14.1600
    43.900,   14.1600
    44.000,   14.1600
    44.100,   14.1600
    44.208,   14.1600
    44.302,   14.1600
    44.400,   14.1600
    44.500,   14.1600
    44.600,   14.1600
    44.703,   14.1600
    44.801,   14.1600
    44.900,   14.1600
    45.000,   14.1600
    45.100,   14.1600
    45.208,   14.1600
    45.302,   14.1600
    45.400,   14.1600
    45.500,   14.1600
    45.600,   14.1600
    45.706,   14.1600
    45.801,   14.1600
    45.900,   14.1600
    46.000,   14.1600
    46.100,   14.1600
    46.208,   14.1600
    46.302,   14.1600
    46.400,   14.1600
    46.500,   14.1600
    46.600,   14.1600
    46.707,   14.1600
    46.801,   14.1600
    46.900,   14.1600
    47.000,   14.1600
    47.100,   14.1600
    47.207,   14.1600
    47.302,   14.1600
    47.400,   14.1600
    47.500,   14.1600
    47.600,   14.1600
    47.708,   14.1600
    47.802,   14.1600
    47.900,   14.1600
    48.000,   14.1600
    48.100,   14.1600
    48.208,   14.1600
    48.302,   14.1600
    48.400,   14.1600
    48.500,   14.1600
    48.600,   14.1600
    48.708,   14.1600
    48.802,   14.1600
    48.900,   14.1600
    49.000,   14.1600
    49.100,   14.1600
    49.203,   14.1600
    49.302,   14.1600
    49.400,   14.1600
    49.500,   14.1600
    49.600,   14.1600
    49.707,   14.1600
    49.802,   14.1600
    49.900,   14.1600
    50.000,   14.1600
    50.100,   14.1600
    50.202,   14.1600
    50.301,   14.1600
    50.400,   14.1600
    50.500,   14.1600
    50.600,   14.1600
    50.702,   14.1600
    50.800,   14.1600
    50.900,   14.1600
    51.000,   14.1600
    51.100,   14.1600
    51.204,   14.1600
    51.302,   14.1600
    51.400,   14.1600
    51.500,   14.1600
    51.600,   14.1600
    51.704,   14.1600
    51.806,   14.1600
    51.900,   14.1600
    52.000,   14.1600
    52.100,   14.1600
    52.204,   14.1600
    52.305,   14.1600
    52.400,   14.1600
