JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
     1.008,   669.497,   441.089,     6.691,    -0.000,    30.269,     0.000,     0.500,    53.689,   825.110,     1.000,     6.699,  -167.936,     0.000,   229.371,   337.950,    34.183,    25.174,    23.001,     0.008,     0.000,     2.496,     2.500,     2.500, 0.000E+00, 0.000E+00,
     1.100,   679.861,   441.111,     6.690,     0.002,    38.106,     0.000,     0.500,    53.711,   825.110,     1.000,     6.690,  -169.636,     0.000,   228.997,   337.903,    34.812,    25.919,    23.001,     0.100,     0.000,     2.495,     2.496,     2.496, 0.000E+00, 0.000E+00,
     1.206,   687.818,   441.132,     6.680,     0.006,    34.304,     0.000,     0.499,    53.732,   825.110,     1.000,     6.680,  -154.362,     0.000,   233.900,   337.857,    30.754,    19.652,    23.002,     0.206,     0.000,     2.491,     2.491,     2.491, 0.000E+00, 0.000E+00,
     1.300,   695.017,   441.152,     6.671,     0.005,    33.139,     0.000,     0.499,    53.752,   825.110,     1.000,     6.671,  -152.745,     0.000,   241.372,   337.815,    31.694,    24.608,    23.003,     0.300,     0.000,     2.486,     2.487,     2.487, 0.000E+00, 0.000E+00,
     1.400,   703.759,   441.175,     6.663,     0.013,    36.477,     7.974,     0.498,    53.775,   825.110,     1.000,     6.663,  -116.073,     7.523,   261.816,   337.773,    27.698,    19.941,    23.004,     0.400,     0.000,     2.482,     2.482,     2.482, 0.000E+00, 0.000E+00,
     1.500,   689.735,   441.198,     6.658,    -0.004,    37.329,    36.867,     0.498,    53.798,   825.110,     1.000,     6.658,   -67.329,    34.780,   273.569,   337.746,    25.216,    12.716,    23.006,     0.500,     0.001,     2.477,     2.478,     2.478, 0.000E+00, 0.000E+00,
     1.600,   680.386,   441.225,     6.653,    -0.006,    39.290,    59.476,     0.498,    53.825,   825.110,     1.000,     6.653,   -44.590,    56.109,   271.651,   337.725,    25.123,     9.502,    23.007,     0.600,     0.002,     2.473,     2.475,     2.475, 0.000E+00, 0.000E+00,
     1.705,   655.337,   441.256,     6.649,    -0.005,    35.418,    11.605,     0.497,    53.856,   825.110,     1.000,     6.649,   -92.665,    10.948,   271.745,   337.707,    28.605,     9.046,    23.009,     0.705,     0.004,     2.468,     2.473,     2.473, 0.000E+00, 0.000E+00,
     1.807,   641.165,   441.293,     6.642,    -0.006,    35.995,     0.000,     0.497,    53.893,   825.110,     1.000,     6.642,  -109.721,     0.000,   269.472,   337.671,    31.190,    10.331,    23.012,     0.806,     0.008,     2.464,     2.472,     2.472, 0.000E+00, 0.000E+00,
     1.900,   635.454,   441.331,     6.635,     0.007,    38.030,     0.000,     0.497,    53.931,   825.110,     1.000,     6.635,  -111.984,     0.000,   266.829,   337.636,    29.917,    11.260,    23.014,     0.899,     0.013,     2.460,     2.474,     2.474, 0.000E+00, 0.000E+00,
