$Temperature file for segment 11
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
     1.008,    6.70,            6.70,
     1.100,    6.69,            6.69,
     1.206,    6.68,            6.68,
     1.300,    6.68,            6.68,
     1.400,    6.67,            6.67,
     1.500,    6.66,            6.66,
     1.600,    6.66,            6.66,
     1.705,    6.66,            6.66,
     1.807,    6.65,            6.65,
     1.900,    6.65,            6.65,
     2.000,    6.64,            6.64,
     2.100,    6.63,          -99.00,
     2.204,    6.63,          -99.00,
     2.306,    6.62,          -99.00,
     2.400,    6.61,          -99.00,
     2.500,    6.61,          -99.00,
     2.600,    6.62,          -99.00,
     2.703,    6.62,          -99.00,
     2.804,    6.62,          -99.00,
     2.900,    6.61,          -99.00,
     3.000,    6.60,          -99.00,
     3.100,    6.60,          -99.00,
     3.202,    6.59,          -99.00,
     3.304,    6.58,          -99.00,
     3.400,    6.57,          -99.00,
     3.500,    6.57,          -99.00,
     3.600,    6.57,          -99.00,
     3.701,    6.58,          -99.00,
     3.802,    6.57,          -99.00,
     3.900,    6.56,          -99.00,
     4.000,    6.55,          -99.00,
     4.100,    6.54,          -99.00,
     4.202,    6.53,          -99.00,
     4.305,    6.52,          -99.00,
     4.400,    6.51,          -99.00,
     4.500,    6.51,          -99.00,
     4.600,    6.50,          -99.00,
     4.702,    6.50,          -99.00,
     4.806,    6.49,          -99.00,
     4.900,    6.47,          -99.00,
     5.000,    6.46,          -99.00,
     5.100,    6.45,          -99.00,
     5.205,    6.44,          -99.00,
     5.307,    6.43,          -99.00,
     5.400,    6.42,          -99.00,
     5.500,    6.41,          -99.00,
     5.600,    6.41,          -99.00,
     5.704,    6.40,          -99.00,
     5.808,    6.39,          -99.00,
     5.900,    6.38,          -99.00,
     6.000,    6.37,          -99.00,
     6.100,    6.37,          -99.00,
     6.203,    6.36,          -99.00,
     6.302,    6.35,          -99.00,
     6.400,    6.35,          -99.00,
     6.500,    6.34,          -99.00,
     6.600,    6.35,          -99.00,
     6.703,    6.35,          -99.00,
     6.804,    6.34,          -99.00,
     6.900,    6.34,          -99.00,
     7.000,    6.33,          -99.00,
     7.100,    6.33,          -99.00,
     7.203,    6.32,          -99.00,
     7.302,    6.31,          -99.00,
     7.400,    6.30,          -99.00,
     7.500,    6.30,          -99.00,
     7.600,    6.29,          -99.00,
     7.702,    6.28,          -99.00,
