$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,T(C)
     1.008,    6.70
     1.100,    6.69
     1.206,    6.68
     1.300,    6.68
     1.400,    6.67
     1.500,    6.66
     1.600,    6.66
     1.705,    6.66
     1.807,    6.65
     1.900,    6.65
     2.000,    6.64
     2.100,  -99.00
     2.204,  -99.00
     2.306,  -99.00
     2.400,  -99.00
     2.500,  -99.00
     2.600,  -99.00
     2.703,  -99.00
     2.804,  -99.00
     2.900,  -99.00
     3.000,  -99.00
     3.100,  -99.00
     3.202,  -99.00
     3.304,  -99.00
     3.400,  -99.00
     3.500,  -99.00
     3.600,  -99.00
     3.701,  -99.00
     3.802,  -99.00
     3.900,  -99.00
     4.000,  -99.00
     4.100,  -99.00
     4.202,  -99.00
     4.305,  -99.00
     4.400,  -99.00
     4.500,  -99.00
     4.600,  -99.00
     4.702,  -99.00
     4.806,  -99.00
     4.900,  -99.00
     5.000,  -99.00
     5.100,  -99.00
     5.205,  -99.00
     5.307,  -99.00
     5.400,  -99.00
     5.500,  -99.00
     5.600,  -99.00
     5.704,  -99.00
     5.808,  -99.00
     5.900,  -99.00
     6.000,  -99.00
     6.100,  -99.00
     6.203,  -99.00
     6.302,  -99.00
     6.400,  -99.00
     6.500,  -99.00
     6.600,  -99.00
     6.703,  -99.00
     6.804,  -99.00
     6.900,  -99.00
     7.000,  -99.00
     7.100,  -99.00
     7.203,  -99.00
     7.302,  -99.00
     7.400,  -99.00
     7.500,  -99.00
     7.600,  -99.00
     7.702,  -99.00
     7.800,  -99.00
     7.900,  -99.00
     8.000,  -99.00
     8.100,  -99.00
     8.200,  -99.00
     8.301,  -99.00
     8.400,  -99.00
     8.500,  -99.00
     8.600,  -99.00
     8.703,  -99.00
     8.803,  -99.00
     8.900,  -99.00
     9.000,  -99.00
     9.100,  -99.00
     9.204,  -99.00
     9.303,  -99.00
     9.400,  -99.00
     9.500,  -99.00
     9.600,  -99.00
     9.705,  -99.00
     9.801,  -99.00
     9.900,  -99.00
    10.000,  -99.00
    10.100,  -99.00
    10.201,  -99.00
    10.304,  -99.00
    10.400,  -99.00
    10.500,  -99.00
    10.600,  -99.00
    10.702,  -99.00
    10.803,  -99.00
    10.900,  -99.00
    11.000,  -99.00
    11.100,  -99.00
    11.205,  -99.00
    11.303,  -99.00
    11.400,  -99.00
    11.500,  -99.00
    11.600,  -99.00
    11.707,  -99.00
    11.803,  -99.00
    11.900,  -99.00
    12.000,  -99.00
    12.100,  -99.00
    12.201,  -99.00
    12.303,  -99.00
    12.400,  -99.00
    12.500,  -99.00
    12.600,  -99.00
    12.705,  -99.00
    12.803,  -99.00
    12.900,  -99.00
    13.000,  -99.00
    13.100,  -99.00
    13.205,  -99.00
    13.303,  -99.00
    13.400,  -99.00
    13.500,  -99.00
    13.600,  -99.00
    13.701,  -99.00
    13.803,  -99.00
    13.900,  -99.00
    14.000,  -99.00
    14.100,  -99.00
    14.201,  -99.00
    14.304,  -99.00
    14.400,  -99.00
    14.500,  -99.00
    14.600,  -99.00
    14.702,  -99.00
    14.801,  -99.00
    14.900,  -99.00
    15.000,  -99.00
    15.100,  -99.00
    15.201,  -99.00
    15.303,  -99.00
    15.400,  -99.00
    15.500,  -99.00
    15.600,  -99.00
    15.701,  -99.00
    15.807,  -99.00
    15.900,  -99.00
    16.000,  -99.00
    16.100,  -99.00
    16.202,  -99.00
    16.304,  -99.00
    16.400,  -99.00
    16.500,  -99.00
    16.600,  -99.00
    16.701,  -99.00
    16.803,  -99.00
    16.900,  -99.00
    17.000,  -99.00
    17.100,  -99.00
    17.201,  -99.00
    17.303,  -99.00
    17.400,  -99.00
    17.500,  -99.00
    17.600,  -99.00
    17.704,  -99.00
    17.803,  -99.00
    17.900,  -99.00
    18.000,  -99.00
    18.100,  -99.00
    18.201,  -99.00
    18.307,  -99.00
    18.400,  -99.00
    18.500,  -99.00
    18.600,  -99.00
    18.708,  -99.00
    18.801,  -99.00
    18.900,  -99.00
    19.000,  -99.00
    19.100,  -99.00
    19.208,  -99.00
    19.303,  -99.00
    19.400,  -99.00
    19.500,  -99.00
    19.600,  -99.00
    19.701,  -99.00
    19.803,  -99.00
    19.900,  -99.00
    20.000,  -99.00
    20.100,  -99.00
    20.201,  -99.00
    20.303,  -99.00
    20.400,  -99.00
    20.500,  -99.00
    20.600,  -99.00
    20.703,  -99.00
    20.801,  -99.00
    20.900,  -99.00
    21.000,  -99.00
    21.100,  -99.00
    21.201,  -99.00
    21.302,  -99.00
    21.400,  -99.00
    21.500,  -99.00
    21.600,  -99.00
    21.702,  -99.00
    21.802,  -99.00
    21.900,  -99.00
    22.000,  -99.00
    22.100,  -99.00
    22.208,  -99.00
    22.302,  -99.00
    22.400,  -99.00
    22.500,  -99.00
    22.600,  -99.00
    22.701,  -99.00
    22.802,  -99.00
    22.900,  -99.00
    23.000,  -99.00
    23.100,  -99.00
    23.201,  -99.00
    23.302,  -99.00
    23.400,  -99.00
    23.500,  -99.00
    23.600,  -99.00
    23.701,  -99.00
    23.802,  -99.00
    23.900,  -99.00
    24.000,  -99.00
    24.100,  -99.00
    24.202,  -99.00
    24.302,  -99.00
    24.400,  -99.00
    24.500,  -99.00
    24.600,  -99.00
    24.704,  -99.00
    24.802,  -99.00
    24.900,  -99.00
    25.000,  -99.00
    25.100,  -99.00
    25.202,  -99.00
    25.302,  -99.00
    25.400,  -99.00
    25.500,  -99.00
    25.600,  -99.00
    25.702,  -99.00
    25.802,  -99.00
    25.900,  -99.00
    26.000,  -99.00
    26.100,  -99.00
    26.202,  -99.00
    26.302,  -99.00
    26.400,  -99.00
    26.500,  -99.00
    26.600,  -99.00
    26.708,  -99.00
    26.802,  -99.00
    26.900,  -99.00
    27.000,  -99.00
    27.100,  -99.00
    27.201,  -99.00
    27.302,  -99.00
    27.400,  -99.00
    27.500,  -99.00
    27.600,  -99.00
    27.704,  -99.00
    27.802,  -99.00
    27.900,  -99.00
    28.000,  -99.00
    28.100,  -99.00
    28.208,  -99.00
    28.302,  -99.00
    28.400,  -99.00
    28.500,  -99.00
    28.600,  -99.00
    28.701,  -99.00
    28.802,  -99.00
    28.900,  -99.00
    29.000,  -99.00
    29.100,  -99.00
    29.208,  -99.00
    29.302,  -99.00
    29.400,  -99.00
    29.500,  -99.00
    29.600,  -99.00
    29.701,  -99.00
    29.802,  -99.00
    29.900,  -99.00
    30.000,  -99.00
    30.100,  -99.00
    30.202,  -99.00
    30.302,  -99.00
    30.400,  -99.00
    30.500,  -99.00
    30.600,  -99.00
    30.702,  -99.00
    30.802,  -99.00
    30.900,  -99.00
    31.000,  -99.00
    31.100,  -99.00
    31.202,  -99.00
    31.300,  -99.00
    31.400,  -99.00
    31.500,  -99.00
    31.600,  -99.00
    31.706,  -99.00
    31.802,  -99.00
    31.900,  -99.00
    32.000,  -99.00
    32.100,  -99.00
    32.208,  -99.00
    32.302,  -99.00
    32.400,  -99.00
    32.500,  -99.00
    32.600,  -99.00
    32.702,  -99.00
    32.802,  -99.00
    32.900,  -99.00
    33.000,  -99.00
    33.100,  -99.00
    33.202,  -99.00
    33.302,  -99.00
    33.400,  -99.00
    33.500,  -99.00
    33.600,  -99.00
    33.708,  -99.00
    33.802,  -99.00
    33.900,  -99.00
    34.000,  -99.00
    34.100,  -99.00
    34.202,  -99.00
    34.301,  -99.00
    34.400,  -99.00
    34.500,  -99.00
    34.600,  -99.00
    34.702,  -99.00
    34.801,  -99.00
    34.900,  -99.00
    35.000,  -99.00
    35.100,  -99.00
    35.208,  -99.00
    35.302,  -99.00
    35.400,  -99.00
    35.500,  -99.00
    35.600,  -99.00
    35.708,  -99.00
    35.801,  -99.00
    35.900,  -99.00
    36.000,  -99.00
    36.100,  -99.00
    36.208,  -99.00
    36.301,  -99.00
    36.400,  -99.00
    36.500,  -99.00
    36.600,  -99.00
    36.703,  -99.00
    36.801,  -99.00
    36.900,  -99.00
    37.000,  -99.00
    37.100,  -99.00
    37.207,  -99.00
    37.301,  -99.00
    37.400,  -99.00
    37.500,  -99.00
    37.600,  -99.00
    37.703,  -99.00
    37.801,  -99.00
    37.900,  -99.00
    38.000,  -99.00
    38.100,  -99.00
    38.203,  -99.00
    38.302,  -99.00
    38.400,  -99.00
    38.500,  -99.00
    38.600,  -99.00
    38.704,  -99.00
    38.802,  -99.00
    38.900,  -99.00
    39.000,  -99.00
    39.100,  -99.00
    39.207,  -99.00
    39.302,  -99.00
    39.400,  -99.00
    39.500,  -99.00
    39.600,  -99.00
    39.701,  -99.00
    39.802,  -99.00
    39.900,  -99.00
    40.000,  -99.00
    40.100,  -99.00
    40.205,  -99.00
    40.302,  -99.00
    40.400,  -99.00
    40.500,  -99.00
    40.600,  -99.00
    40.702,  -99.00
    40.802,  -99.00
    40.900,  -99.00
    41.000,  -99.00
    41.100,  -99.00
    41.207,  -99.00
    41.301,  -99.00
    41.400,  -99.00
    41.500,  -99.00
    41.600,  -99.00
    41.708,  -99.00
    41.802,  -99.00
    41.900,  -99.00
    42.000,  -99.00
    42.100,  -99.00
    42.206,  -99.00
    42.300,  -99.00
    42.400,  -99.00
    42.500,  -99.00
    42.600,  -99.00
    42.702,  -99.00
    42.800,  -99.00
    42.900,  -99.00
    43.000,  -99.00
    43.100,  -99.00
    43.208,  -99.00
    43.302,  -99.00
    43.400,  -99.00
    43.500,  -99.00
    43.600,  -99.00
    43.703,  -99.00
    43.801,  -99.00
    43.900,  -99.00
    44.000,  -99.00
    44.100,  -99.00
    44.208,  -99.00
    44.302,  -99.00
    44.400,  -99.00
    44.500,  -99.00
    44.600,  -99.00
    44.703,  -99.00
    44.801,  -99.00
    44.900,  -99.00
    45.000,  -99.00
    45.100,  -99.00
    45.208,  -99.00
    45.302,  -99.00
    45.400,  -99.00
    45.500,  -99.00
    45.600,  -99.00
    45.706,  -99.00
    45.801,  -99.00
    45.900,  -99.00
    46.000,  -99.00
    46.100,  -99.00
    46.208,  -99.00
    46.302,  -99.00
    46.400,  -99.00
    46.500,  -99.00
    46.600,  -99.00
    46.707,  -99.00
    46.801,  -99.00
    46.900,  -99.00
    47.000,  -99.00
    47.100,  -99.00
    47.207,  -99.00
    47.302,  -99.00
    47.400,  -99.00
    47.500,  -99.00
    47.600,  -99.00
    47.708,  -99.00
    47.802,  -99.00
    47.900,  -99.00
    48.000,  -99.00
    48.100,  -99.00
    48.208,  -99.00
    48.302,  -99.00
    48.400,  -99.00
    48.500,  -99.00
    48.600,  -99.00
    48.708,  -99.00
    48.802,  -99.00
    48.900,  -99.00
    49.000,  -99.00
    49.100,  -99.00
    49.203,  -99.00
    49.302,  -99.00
    49.400,  -99.00
    49.500,  -99.00
    49.600,  -99.00
    49.707,  -99.00
    49.802,  -99.00
    49.900,  -99.00
    50.000,  -99.00
    50.100,  -99.00
    50.202,  -99.00
    50.301,  -99.00
    50.400,  -99.00
    50.500,  -99.00
    50.600,  -99.00
    50.702,  -99.00
    50.800,  -99.00
    50.900,  -99.00
    51.000,  -99.00
    51.100,  -99.00
    51.204,  -99.00
    51.302,  -99.00
    51.400,  -99.00
    51.500,  -99.00
    51.600,  -99.00
    51.704,  -99.00
    51.806,  -99.00
    51.900,  -99.00
    52.000,  -99.00
    52.100,  -99.00
    52.204,  -99.00
    52.305,  -99.00
    52.400,  -99.00
    52.500,  -99.00
    52.600,  -99.00
    52.703,  -99.00
    52.801,  -99.00
    52.900,  -99.00
    53.000,  -99.00
    53.100,  -99.00
    53.202,  -99.00
    53.300,  -99.00
    53.400,  -99.00
    53.500,  -99.00
    53.600,  -99.00
    53.701,  -99.00
    53.802,  -99.00
    53.900,  -99.00
    54.000,  -99.00
    54.100,  -99.00
    54.201,  -99.00
    54.300,  -99.00
    54.400,  -99.00
    54.500,  -99.00
    54.600,  -99.00
    54.701,  -99.00
    54.802,  -99.00
    54.900,  -99.00
    55.000,  -99.00
    55.100,  -99.00
    55.202,  -99.00
    55.302,  -99.00
    55.400,  -99.00
    55.500,  -99.00
    55.600,  -99.00
    55.704,  -99.00
    55.802,  -99.00
    55.900,  -99.00
    56.000,  -99.00
    56.100,  -99.00
    56.201,  -99.00
    56.302,  -99.00
    56.400,  -99.00
    56.500,  -99.00
    56.600,  -99.00
    56.701,  -99.00
    56.802,  -99.00
    56.900,  -99.00
    57.000,  -99.00
    57.100,  -99.00
    57.202,  -99.00
    57.302,  -99.00
    57.400,  -99.00
    57.500,  -99.00
    57.600,  -99.00
    57.700,  -99.00
    57.800,  -99.00
    57.900,  -99.00
    58.000,  -99.00
    58.100,  -99.00
    58.202,  -99.00
    58.302,  -99.00
    58.400,  -99.00
    58.500,  -99.00
    58.600,  -99.00
    58.702,  -99.00
    58.801,  -99.00
    58.900,  -99.00
    59.000,  -99.00
    59.100,  -99.00
    59.203,  -99.00
    59.301,  -99.00
    59.400,  -99.00
    59.500,  -99.00
    59.600,  -99.00
    59.700,  -99.00
    59.802,  -99.00
    59.900,  -99.00
    60.000,  -99.00
    60.100,  -99.00
    60.204,  -99.00
    60.301,  -99.00
    60.400,  -99.00
    60.500,  -99.00
    60.600,  -99.00
    60.700,  -99.00
    60.802,  -99.00
    60.900,  -99.00
    61.000,  -99.00
    61.100,  -99.00
    61.201,  -99.00
    61.304,  -99.00
    61.400,  -99.00
    61.500,  -99.00
    61.600,  -99.00
    61.701,  -99.00
    61.803,  -99.00
    61.900,  -99.00
    62.000,  -99.00
    62.100,  -99.00
    62.201,  -99.00
    62.308,  -99.00
    62.400,  -99.00
    62.500,  -99.00
    62.600,  -99.00
    62.704,  -99.00
    62.803,  -99.00
    62.900,  -99.00
    63.000,  -99.00
    63.100,  -99.00
    63.201,  -99.00
    63.306,  -99.00
    63.400,  -99.00
    63.500,  -99.00
    63.600,  -99.00
    63.701,  -99.00
    63.803,  -99.00
