$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     1.000,   23.0000,    0.0000,    0.0000,    2.5000,
     1.100,   23.0009,    0.0999,    0.0001,    2.4961,
     1.200,   23.0018,    0.1999,    0.0002,    2.4922,
     1.300,   23.0028,    0.2999,    0.0002,    2.4882,
     1.400,   23.0038,    0.3998,    0.0003,    2.4842,
     1.500,   23.0048,    0.4996,    0.0005,    2.4802,
     1.600,   23.0059,    0.5995,    0.0015,    2.4763,
     1.700,   23.0071,    0.6994,    0.0023,    2.4724,
     1.800,   23.0083,    0.7992,    0.0033,    2.4684,
     1.900,   23.0098,    0.8989,    0.0039,    2.4642,
     2.000,   23.0113,    0.9986,    0.0044,    2.4600,
     2.100,   23.0122,    1.0982,    0.0050,    2.4557,
     2.200,   23.0131,    1.1979,    0.0058,    2.4515,
     2.300,   23.0140,    1.2974,    0.0065,    2.4472,
     2.400,   23.0150,    1.3968,    0.0074,    2.4429,
     2.500,   23.0160,    1.4962,    0.0085,    2.4391,
     2.600,   23.0170,    1.5957,    0.0098,    2.4361,
     2.700,   23.0182,    1.6951,    0.0111,    2.4327,
     2.800,   23.0196,    1.7942,    0.0127,    2.4280,
     2.900,   23.0214,    1.8925,    0.0155,    2.4192,
     3.000,   23.0254,    1.9907,    0.0184,    2.4152,
     3.100,   23.0293,    2.0888,    0.0215,    2.4115,
     3.200,   23.0329,    2.1865,    0.0258,    2.4059,
     3.300,   23.0354,    2.2844,    0.0302,    2.4007,
     3.400,   23.0376,    2.3826,    0.0342,    2.3962,
     3.500,   23.0396,    2.4811,    0.0384,    2.3924,
     3.600,   23.0416,    2.5797,    0.0424,    2.3894,
     3.700,   23.0439,    2.6781,    0.0466,    2.3857,
     3.800,   23.0459,    2.7757,    0.0518,    2.3801,
     3.900,   23.0484,    2.8717,    0.0591,    2.3703,
     4.000,   23.0529,    2.9676,    0.0718,    2.3678,
     4.100,   23.0572,    3.0631,    0.0842,    2.3654,
     4.200,   23.0611,    3.1580,    0.0953,    2.3599,
     4.300,   23.0651,    3.2532,    0.1064,    2.3544,
     4.400,   23.0694,    3.3497,    0.1191,    2.3502,
     4.500,   23.0741,    3.4462,    0.1335,    2.3461,
     4.600,   23.0787,    3.5425,    0.1476,    2.3415,
     4.700,   23.0849,    3.6379,    0.1665,    2.3358,
     4.800,   23.0951,    3.7324,    0.1995,    2.3341,
     4.900,   23.1078,    3.8259,    0.2370,    2.3339,
     5.000,   23.1167,    3.9197,    0.2602,    2.3297,
     5.100,   23.1257,    4.0135,    0.2805,    2.3255,
     5.200,   23.1344,    4.1071,    0.2979,    2.3210,
     5.300,   23.1427,    4.2007,    0.3133,    2.3164,
     5.400,   23.1512,    4.2939,    0.3292,    2.3117,
     5.500,   23.1578,    4.3877,    0.3406,    2.3064,
     5.600,   23.1656,    4.4808,    0.3540,    2.3015,
     5.700,   23.1747,    4.5726,    0.3691,    2.2966,
     5.800,   23.1845,    4.6635,    0.3859,    2.2915,
     5.900,   23.1943,    4.7537,    0.4019,    2.2863,
     6.000,   23.2047,    4.8431,    0.4185,    2.2809,
     6.100,   23.2091,    4.9347,    0.4245,    2.2736,
     6.200,   23.2192,    5.0226,    0.4398,    2.2678,
     6.300,   23.2284,    5.1112,    0.4535,    2.2619,
     6.400,   23.2375,    5.2001,    0.4674,    2.2564,
     6.500,   23.2430,    5.2912,    0.4780,    2.2511,
     6.600,   23.2525,    5.3801,    0.4966,    2.2479,
     6.700,   23.2648,    5.4666,    0.5233,    2.2455,
     6.800,   23.2791,    5.5511,    0.5568,    2.2436,
     6.900,   23.2926,    5.6357,    0.5948,    2.2416,
     7.000,   23.3032,    5.7207,    0.6379,    2.2387,
     7.100,   23.3285,    5.7925,    0.7269,    2.2379,
     7.200,   23.3373,    5.8720,    0.8140,    2.2364,
     7.300,   23.3525,    5.9459,    0.9359,    2.2375,
     7.400,   23.3655,    6.0202,    1.0742,    2.2395,
     7.500,   23.3767,    6.0944,    1.2223,    2.2421,
     7.600,   23.3905,    6.1663,    1.3946,    2.2468,
     7.700,   23.4091,    6.2341,    1.6138,    2.2552,
     7.800,   23.4290,    6.3005,    1.8601,    2.2650,
     7.900,   23.4476,    6.3650,    2.1245,    2.2756,
     8.000,   23.4650,    6.4275,    2.4015,    2.2873,
     8.100,   23.4710,    6.4853,    2.6932,    2.3007,
     8.200,   23.4739,    6.5381,    3.0550,    2.3191,
     8.300,   23.4652,    6.5872,    3.5010,    2.3426,
     8.400,   23.4478,    6.6298,    3.9979,    2.3708,
     8.500,   23.4245,    6.6680,    4.5025,    2.4029,
     8.600,   23.4010,    6.7031,    5.0142,    2.4389,
     8.700,   23.3741,    6.7382,    5.5477,    2.4799,
     8.800,   23.3392,    6.7711,    6.2107,    2.5303,
     8.900,   23.2925,    6.7948,    7.1430,    2.6018,
     9.000,   23.2387,    6.8145,    8.1640,    2.6835,
     9.100,   23.1955,    6.8482,    8.8919,    2.7442,
     9.200,   23.1612,    6.8930,    9.4283,    2.7904,
     9.300,   23.1301,    6.9424,    9.8509,    2.8273,
     9.400,   23.1017,    6.9956,   10.1992,    2.8589,
     9.500,   23.0781,    7.0539,   10.4289,    2.8808,
     9.600,   23.0538,    7.1133,   10.7107,    2.9070,
     9.700,   23.0255,    7.1685,   11.0844,    2.9407,
     9.800,   22.9928,    7.2156,   11.5385,    2.9804,
     9.900,   22.9630,    7.2629,   11.9003,    3.0118,
    10.000,   22.9361,    7.3138,   12.1845,    3.0379,
    10.100,   22.9121,    7.3671,   12.4188,    3.0588,
    10.200,   22.8952,    7.4276,   12.5289,    3.0678,
    10.300,   22.8857,    7.4956,   12.5266,    3.0680,
    10.400,   22.8694,    7.5577,   12.6940,    3.0815,
    10.500,   22.8676,    7.6386,   12.5092,    3.0677,
    10.600,   22.8558,    7.7110,   12.6204,    3.0778,
    10.700,   22.8387,    7.7754,   12.8577,    3.0991,
    10.800,   22.8099,    7.8241,   13.3160,    3.1383,
    10.900,   22.7701,    7.8543,   14.0159,    3.1976,
    11.000,   22.7275,    7.8729,   14.7072,    3.2578,
    11.100,   22.7022,    7.9205,   14.9272,    3.2832,
    11.200,   22.6748,    7.9592,   15.1983,    3.3130,
    11.300,   22.6486,    7.9994,   15.4273,    3.3408,
