$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     1.000,   23.0000,    0.0000,    0.0000,    2.5000,
     1.100,   23.0009,    0.0999,    0.0001,    2.4961,
     1.200,   23.0018,    0.1999,    0.0002,    2.4922,
     1.300,   23.0027,    0.2999,    0.0002,    2.4882,
     1.400,   23.0038,    0.3998,    0.0003,    2.4842,
     1.500,   23.0048,    0.4996,    0.0005,    2.4802,
     1.600,   23.0059,    0.5995,    0.0015,    2.4763,
     1.700,   23.0071,    0.6994,    0.0023,    2.4724,
     1.800,   23.0083,    0.7992,    0.0033,    2.4684,
     1.900,   23.0098,    0.8989,    0.0039,    2.4642,
     2.000,   23.0113,    0.9986,    0.0044,    2.4600,
     2.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.700,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     2.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.700,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     3.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.700,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     4.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.700,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     5.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.700,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     6.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.700,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     7.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.700,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     8.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.700,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
     9.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    10.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    10.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
