$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     1.000,   23.0000,    0.0000,    0.0000,    2.5000,
     1.100,   23.0009,    0.0999,    0.0001,    2.4961,
     1.200,   23.0018,    0.1999,    0.0002,    2.4922,
     1.300,   23.0028,    0.2999,    0.0002,    2.4882,
     1.400,   23.0038,    0.3998,    0.0003,    2.4842,
     1.500,   23.0048,    0.4996,    0.0005,    2.4802,
     1.600,   23.0059,    0.5995,    0.0015,    2.4763,
     1.700,   23.0071,    0.6994,    0.0023,    2.4724,
     1.800,   23.0083,    0.7992,    0.0033,    2.4684,
     1.900,   23.0098,    0.8989,    0.0039,    2.4642,
     2.000,   23.0113,    0.9986,    0.0044,    2.4600,
     2.100,   23.0122,    1.0982,    0.0050,    2.4557,
     2.200,   23.0131,    1.1979,    0.0058,    2.4515,
     2.300,   23.0140,    1.2974,    0.0065,    2.4472,
     2.400,   23.0150,    1.3968,    0.0074,    2.4429,
     2.500,   23.0160,    1.4961,    0.0087,    2.4380,
     2.600,   23.0169,    1.5953,    0.0106,    2.4327,
     2.700,   23.0178,    1.6945,    0.0123,    2.4268,
     2.800,   23.0187,    1.7933,    0.0143,    2.4193,
     2.900,   23.0194,    1.8914,    0.0172,    2.4081,
     3.000,   23.0242,    1.9904,    0.0188,    2.4109,
     3.100,   23.0293,    2.0888,    0.0215,    2.4115,
     3.200,   23.0329,    2.1865,    0.0258,    2.4059,
     3.300,   23.0354,    2.2844,    0.0302,    2.4007,
     3.400,   23.0375,    2.3826,    0.0342,    2.3962,
     3.500,   23.0397,    2.4809,    0.0387,    2.3915,
     3.600,   23.0418,    2.5790,    0.0431,    2.3860,
     3.700,   23.0436,    2.6769,    0.0469,    2.3795,
     3.800,   23.0451,    2.7741,    0.0506,    2.3708,
     3.900,   23.0467,    2.8702,    0.0547,    2.3580,
     4.000,   23.0518,    2.9673,    0.0681,    2.3619,
     4.100,   23.0572,    3.0631,    0.0842,    2.3654,
     4.200,   23.0611,    3.1580,    0.0953,    2.3599,
     4.300,   23.0651,    3.2532,    0.1064,    2.3544,
     4.400,   23.0694,    3.3497,    0.1191,    2.3502,
     4.500,   23.0734,    3.4462,    0.1306,    2.3450,
     4.600,   23.0754,    3.5426,    0.1346,    2.3369,
     4.700,   23.0773,    3.6386,    0.1379,    2.3274,
     4.800,   23.0883,    3.7333,    0.1770,    2.3279,
     4.900,   23.1078,    3.8259,    0.2370,    2.3339,
     5.000,   23.1167,    3.9197,    0.2602,    2.3297,
     5.100,   23.1257,    4.0135,    0.2805,    2.3255,
     5.200,   23.1344,    4.1071,    0.2979,    2.3210,
     5.300,   23.1427,    4.2007,    0.3133,    2.3164,
     5.400,   23.1504,    4.2943,    0.3276,    2.3114,
     5.500,   23.1525,    4.3903,    0.3304,    2.3045,
     5.600,   23.1549,    4.4862,    0.3328,    2.2978,
     5.700,   23.1585,    4.5810,    0.3376,    2.2911,
     5.800,   23.1629,    4.6751,    0.3456,    2.2848,
     5.900,   23.1676,    4.7685,    0.3535,    2.2784,
     6.000,   23.1728,    4.8614,    0.3626,    2.2720,
     6.100,   23.1763,    4.9536,    0.3699,    2.2650,
     6.200,   23.1799,    5.0457,    0.3766,    2.2578,
     6.300,   23.1850,    5.1370,    0.3865,    2.2512,
     6.400,   23.1913,    5.2277,    0.3980,    2.2449,
     6.500,   23.1990,    5.3173,    0.4138,    2.2397,
     6.600,   23.2095,    5.4050,    0.4364,    2.2362,
     6.700,   23.2238,    5.4897,    0.4679,    2.2339,
     6.800,   23.2390,    5.5733,    0.5037,    2.2319,
     6.900,   23.2519,    5.6582,    0.5385,    2.2299,
     7.000,   23.2609,    5.7433,    0.5748,    2.2266,
     7.100,   23.2975,    5.8067,    0.6783,    2.2289,
     7.200,   23.3019,    5.8852,    0.7558,    2.2266,
     7.300,   23.3163,    5.9565,    0.8752,    2.2281,
     7.400,   23.3274,    6.0288,    1.0075,    2.2301,
     7.500,   23.3375,    6.1007,    1.1493,    2.2323,
     7.600,   23.3524,    6.1696,    1.3219,    2.2370,
     7.700,   23.3741,    6.2339,    1.5523,    2.2470,
     7.800,   23.3986,    6.2989,    1.8101,    2.2587,
     7.900,   23.4211,    6.3636,    2.0776,    2.2704,
     8.000,   23.4430,    6.4260,    2.3595,    2.2830,
     8.100,   23.4549,    6.4849,    2.6589,    2.2980,
     8.200,   23.4619,    6.5376,    3.0313,    2.3181,
     8.300,   23.4530,    6.5885,    3.4814,    2.3421,
     8.400,   23.4347,    6.6326,    3.9672,    2.3700,
     8.500,   23.4118,    6.6709,    4.4454,    2.4001,
     8.600,   23.3885,    6.7075,    4.8836,    2.4303,
     8.700,   23.3652,    6.7456,    5.3052,    2.4620,
     8.800,   23.3369,    6.7844,    5.7727,    2.4981,
     8.900,   23.2978,    6.8118,    6.5733,    2.5596,
     9.000,   23.2481,    6.8315,    7.5773,    2.6398,
     9.100,   23.2077,    6.8647,    8.3165,    2.7011,
     9.200,   23.1733,    6.9071,    8.8977,    2.7510,
     9.300,   23.1414,    6.9542,    9.3609,    2.7912,
     9.400,   23.1119,    7.0056,    9.7354,    2.8250,
     9.500,   23.0866,    7.0615,   10.0150,    2.8506,
     9.600,   23.0615,    7.1189,   10.3103,    2.8775,
     9.700,   23.0348,    7.1755,   10.6270,    2.9065,
     9.800,   23.0059,    7.2281,   10.9802,    2.9384,
     9.900,   22.9787,    7.2804,   11.2924,    2.9657,
    10.000,   22.9530,    7.3347,   11.5552,    2.9892,
    10.100,   22.9319,    7.3932,   11.7087,    3.0037,
    10.200,   22.9210,    7.4625,   11.6132,    2.9967,
    10.300,   22.9192,    7.5385,   11.4219,    2.9816,
    10.400,   22.9031,    7.5993,   11.6538,    2.9995,
    10.500,   22.9012,    7.6788,   11.4987,    2.9876,
    10.600,   22.8993,    7.7620,   11.3542,    2.9779,
    10.700,   22.8949,    7.8443,   11.2458,    2.9727,
    10.800,   22.8713,    7.9030,   11.5813,    3.0028,
    10.900,   22.8321,    7.9382,   12.3055,    3.0650,
    11.000,   22.7918,    7.9660,   12.9686,    3.1243,
    11.100,   22.7796,    8.0368,   12.8417,    3.1246,
    11.200,   22.7517,    8.0793,   13.1311,    3.1565,
