Derived constituent file for segment 11

JDAY,     TSS,    TISS,
     1.000,    0.0000,    2.5000,
     1.100,    2.4962,    2.4962,
     1.200,    2.4923,    2.4923,
     1.300,    2.4884,    2.4884,
     1.400,    2.4845,    2.4845,
     1.500,    2.4807,    2.4807,
     1.600,    2.4779,    2.4778,
     1.700,    2.4747,    2.4747,
     1.800,    2.4717,    2.4717,
     1.900,    2.4681,    2.4681,
     2.000,    2.4644,    2.4644,
     2.100,    2.4607,    2.4607,
     2.200,    2.4572,    2.4572,
     2.300,    2.4537,    2.4537,
     2.400,    2.4504,    2.4504,
     2.500,    2.4476,    2.4476,
     2.600,    2.4459,    2.4459,
     2.700,    2.4438,    2.4438,
     2.800,    2.4408,    2.4408,
     2.900,    2.4347,    2.4347,
     3.000,    2.4336,    2.4336,
     3.100,    2.4331,    2.4331,
     3.200,    2.4317,    2.4317,
     3.300,    2.4310,    2.4310,
     3.400,    2.4304,    2.4304,
     3.500,    2.4308,    2.4308,
     3.600,    2.4318,    2.4318,
     3.700,    2.4324,    2.4324,
     3.800,    2.4319,    2.4319,
     3.900,    2.4294,    2.4294,
     4.000,    2.4396,    2.4396,
     4.100,    2.4495,    2.4495,
     4.200,    2.4552,    2.4552,
     4.300,    2.4608,    2.4608,
     4.400,    2.4693,    2.4693,
     4.500,    2.4796,    2.4796,
     4.600,    2.4891,    2.4891,
     4.700,    2.5022,    2.5022,
     4.800,    2.5337,    2.5337,
     4.900,    2.5709,    2.5709,
     5.000,    2.5899,    2.5899,
     5.100,    2.6060,    2.6060,
     5.200,    2.6189,    2.6190,
     5.300,    2.6296,    2.6296,
     5.400,    2.6408,    2.6409,
     5.500,    2.6470,    2.6470,
     5.600,    2.6555,    2.6555,
     5.700,    2.6657,    2.6658,
     5.800,    2.6775,    2.6775,
     5.900,    2.6882,    2.6882,
     6.000,    2.6994,    2.6994,
     6.100,    2.6981,    2.6981,
     6.200,    2.7076,    2.7076,
     6.300,    2.7154,    2.7154,
     6.400,    2.7238,    2.7238,
     6.500,    2.7291,    2.7292,
     6.600,    2.7444,    2.7445,
     6.700,    2.7688,    2.7688,
     6.800,    2.8003,    2.8004,
     6.900,    2.8364,    2.8364,
     7.000,    2.8765,    2.8766,
     7.100,    2.9648,    2.9649,
     7.200,    3.0503,    3.0504,
     7.300,    3.1732,    3.1733,
     7.400,    3.3135,    3.3137,
     7.500,    3.4642,    3.4644,
     7.600,    3.6411,    3.6414,
     7.700,    3.8687,    3.8690,
     7.800,    4.1249,    4.1252,
     7.900,    4.3998,    4.4001,
     8.000,    4.6885,    4.6888,
     8.100,    4.9935,    4.9939,
     8.200,    5.3736,    5.3741,
     8.300,    5.8429,    5.8435,
     8.400,    6.3680,    6.3687,
     8.500,    6.9047,    6.9054,
     8.600,    7.4524,    7.4531,
     8.700,    8.0268,    8.0275,
     8.800,    8.7400,    8.7410,
     8.900,    9.7436,    9.7448,
     9.000,   10.8465,   10.8475,
     9.100,   11.6354,   11.6361,
     9.200,   12.2181,   12.2187,
     9.300,   12.6777,   12.6781,
     9.400,   13.0576,   13.0580,
     9.500,   13.3092,   13.3097,
     9.600,   13.6172,   13.6177,
     9.700,   14.0245,   14.0250,
     9.800,   14.5185,   14.5189,
     9.900,   14.9118,   14.9121,
    10.000,   15.2220,   15.2223,
    10.100,   15.4772,   15.4776,
    10.200,   15.5964,   15.5967,
    10.300,   15.5944,   15.5946,
    10.400,   15.7753,   15.7756,
    10.500,   15.5766,   15.5769,
    10.600,   15.6978,   15.6982,
    10.700,   15.9564,   15.9568,
    10.800,   16.4538,   16.4543,
    10.900,   17.2130,   17.2135,
    11.000,   17.9646,   17.9650,
    11.100,   18.2100,   18.2104,
    11.200,   18.5109,   18.5113,
    11.300,   18.7677,   18.7680,
    11.400,   18.9809,   18.9812,
    11.500,   19.0714,   19.0717,
    11.600,   19.2286,   19.2289,
    11.700,   19.5487,   19.5490,
    11.800,   20.0313,   20.0315,
    11.900,   20.1839,   20.1840,
    12.000,   20.2398,   20.2398,
    12.100,   20.3687,   20.3687,
    12.200,   20.4584,   20.4584,
    12.300,   20.5538,   20.5538,
    12.400,   20.4125,   20.4124,
    12.500,   20.0127,   20.0126,
    12.600,   19.7269,   19.7268,
    12.700,   19.7936,   19.7936,
    12.800,   20.1049,   20.1049,
    12.900,   20.2673,   20.2673,
    13.000,   20.2285,   20.2284,
    13.100,   20.0778,   20.0776,
    13.200,   19.8630,   19.8629,
    13.300,   19.6655,   19.6653,
    13.400,   19.4437,   19.4435,
    13.500,   19.0325,   19.0324,
    13.600,   18.8111,   18.8110,
    13.700,   18.7698,   18.7697,
    13.800,   18.9157,   18.9155,
    13.900,   18.8275,   18.8273,
    14.000,   18.7224,   18.7222,
    14.100,   18.6983,   18.6982,
    14.200,   18.5552,   18.5551,
    14.300,   18.4025,   18.4023,
    14.400,   18.2341,   18.2339,
    14.500,   17.8498,   17.8497,
    14.600,   17.5724,   17.5722,
    14.700,   17.5430,   17.5428,
    14.800,   17.5745,   17.5743,
    14.900,   17.5351,   17.5348,
    15.000,   17.5526,   17.5524,
    15.100,   17.5801,   17.5798,
    15.200,   17.5631,   17.5629,
    15.300,   17.3462,   17.3460,
    15.400,   17.1184,   17.1181,
    15.500,   16.9020,   16.9017,
    15.600,   16.6980,   16.6978,
    15.700,   16.4679,   16.4677,
