$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,     TSS,    TISS,
     1.000,    0.0000,    2.5000,
     1.100,    2.4962,    2.4962,
     1.200,    2.4923,    2.4923,
     1.300,    2.4884,    2.4884,
     1.400,    2.4845,    2.4845,
     1.500,    2.4807,    2.4807,
     1.600,    2.4779,    2.4778,
     1.700,    2.4747,    2.4747,
     1.800,    2.4717,    2.4717,
     1.900,    2.4681,    2.4681,
     2.000,    2.4644,    2.4644,
     2.100,    2.4607,    2.4607,
     2.200,    2.4572,    2.4572,
     2.300,    2.4537,    2.4537,
     2.400,    2.4504,    2.4504,
     2.500,    2.4484,    2.4484,
     2.600,    2.4486,    2.4486,
     2.700,    2.4485,    2.4485,
     2.800,    2.4479,    2.4479,
     2.900,    2.4441,    2.4441,
     3.000,    2.4375,    2.4375,
     3.100,    2.4331,    2.4331,
     3.200,    2.4317,    2.4317,
     3.300,    2.4310,    2.4310,
     3.400,    2.4304,    2.4304,
     3.500,    2.4313,    2.4313,
     3.600,    2.4344,    2.4344,
     3.700,    2.4384,    2.4384,
     3.800,    2.4425,    2.4425,
     3.900,    2.4461,    2.4461,
     4.000,    2.4491,    2.4491,
     4.100,    2.4495,    2.4495,
     4.200,    2.4552,    2.4552,
     4.300,    2.4608,    2.4608,
     4.400,    2.4693,    2.4693,
     4.500,    2.4836,    2.4836,
     4.600,    2.5067,    2.5068,
     4.700,    2.5390,    2.5391,
     4.800,    2.5624,    2.5625,
     4.900,    2.5709,    2.5709,
     5.000,    2.5899,    2.5899,
     5.100,    2.6060,    2.6060,
     5.200,    2.6189,    2.6190,
     5.300,    2.6296,    2.6296,
     5.400,    2.6427,    2.6427,
     5.500,    2.6590,    2.6591,
     5.600,    2.6805,    2.6806,
     5.700,    2.7028,    2.7028,
     5.800,    2.7245,    2.7245,
     5.900,    2.7444,    2.7444,
     6.000,    2.7642,    2.7642,
     6.100,    2.7614,    2.7614,
     6.200,    2.7809,    2.7809,
     6.300,    2.7932,    2.7932,
     6.400,    2.8048,    2.8048,
     6.500,    2.8047,    2.8047,
     6.600,    2.8164,    2.8164,
     6.700,    2.8358,    2.8358,
     6.800,    2.8651,    2.8651,
     6.900,    2.9044,    2.9045,
     7.000,    2.9517,    2.9518,
     7.100,    3.0127,    3.0128,
     7.200,    3.1183,    3.1185,
     7.300,    3.2433,    3.2434,
     7.400,    3.3896,    3.3898,
     7.500,    3.5470,    3.5472,
     7.600,    3.7237,    3.7239,
     7.700,    3.9384,    3.9386,
     7.800,    4.1813,    4.1816,
     7.900,    4.4518,    4.4522,
     8.000,    4.7347,    4.7351,
     8.100,    5.0211,    5.0215,
     8.200,    5.3921,    5.3925,
     8.300,    5.8579,    5.8585,
     8.400,    6.3916,    6.3923,
     8.500,    6.9496,    6.9503,
     8.600,    7.5568,    7.5576,
     8.700,    8.2224,    8.2232,
     8.800,    9.0938,    9.0950,
     8.900,   10.2045,   10.2059,
     9.000,   11.3220,   11.3231,
     9.100,   12.1017,   12.1024,
     9.200,   12.6474,   12.6480,
     9.300,   13.0734,   13.0739,
     9.400,   13.4316,   13.4321,
     9.500,   13.6427,   13.6431,
     9.600,   13.9397,   13.9401,
     9.700,   14.3927,   14.3932,
     9.800,   14.9678,   14.9683,
     9.900,   15.4008,   15.4012,
    10.000,   15.7283,   15.7287,
    10.100,   16.1001,   16.1005,
    10.200,   16.5831,   16.5834,
    10.300,   16.7853,   16.7857,
    10.400,   16.8975,   16.8978,
    10.500,   16.6671,   16.6676,
    10.600,   17.0638,   17.0643,
    10.700,   17.6947,   17.6952,
    10.800,   18.3239,   18.3245,
    10.900,   19.0560,   19.0565,
    11.000,   19.8367,   19.8372,
    11.100,   20.4541,   20.4545,
    11.200,   20.7346,   20.7350,
    11.300,   20.9860,   20.9863,
    11.400,   21.2046,   21.2049,
    11.500,   21.1620,   21.1624,
    11.600,   21.1346,   21.1349,
    11.700,   21.4333,   21.4336,
    11.800,   22.0853,   22.0855,
    11.900,   22.2520,   22.2520,
    12.000,   22.3552,   22.3553,
    12.100,   22.5028,   22.5029,
    12.200,   22.5849,   22.5850,
    12.300,   22.6269,   22.6269,
    12.400,   22.5447,   22.5446,
    12.500,   21.9249,   21.9249,
    12.600,   21.4171,   21.4171,
    12.700,   21.4786,   21.4786,
    12.800,   21.9498,   21.9498,
    12.900,   22.2083,   22.2082,
    13.000,   22.1960,   22.1959,
    13.100,   22.0156,   22.0154,
    13.200,   21.6895,   21.6893,
    13.300,   21.4663,   21.4662,
    13.400,   21.2926,   21.2924,
    13.500,   20.6739,   20.6738,
    13.600,   20.3931,   20.3930,
    13.700,   20.3960,   20.3959,
    13.800,   20.8016,   20.8015,
    13.900,   20.8232,   20.8231,
    14.000,   20.6522,   20.6521,
    14.100,   20.6289,   20.6288,
    14.200,   20.3492,   20.3490,
    14.300,   20.0593,   20.0591,
    14.400,   19.7638,   19.7636,
    14.500,   19.1420,   19.1418,
    14.600,   18.7457,   18.7455,
    14.700,   18.8514,   18.8513,
    14.800,   19.1645,   19.1643,
    14.900,   18.8763,   18.8761,
    15.000,   18.5168,   18.5166,
    15.100,   18.0928,   18.0926,
    15.200,   17.5632,   17.5629,
    15.300,   17.3462,   17.3460,
    15.400,   17.1184,   17.1182,
    15.500,   16.9207,   16.9205,
