$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
     1.000,   33.987,           11.327,
     1.100,   33.987,           11.327,
     1.200,   33.987,           11.327,
     1.300,   33.987,           11.327,
     1.400,   33.987,           11.327,
     1.500,   33.987,           11.327,
     1.600,   33.987,           11.327,
     1.700,   33.987,           11.327,
     1.800,   33.987,           11.327,
     1.900,   33.987,           11.327,
     2.000,   33.987,           11.327,
     2.100,   75.153,            0.000,
     2.200,   76.080,            0.000,
     2.300,   76.080,            0.000,
     2.400,   76.080,            0.000,
     2.500,   76.080,            0.000,
     2.600,   76.080,            0.000,
     2.700,   76.080,            0.000,
     2.800,   76.080,            0.000,
     2.900,   76.080,            0.000,
     3.000,   76.080,            0.000,
     3.100,   88.267,            0.000,
     3.200,   84.300,            0.000,
     3.300,   84.300,            0.000,
     3.400,   84.300,            0.000,
     3.500,   84.300,            0.000,
     3.600,   84.300,            0.000,
     3.700,   84.300,            0.000,
     3.800,   84.300,            0.000,
     3.900,   84.300,            0.000,
     4.000,   84.300,            0.000,
     4.100,   78.600,            0.000,
     4.200,   78.600,            0.000,
     4.300,   78.600,            0.000,
     4.400,   78.600,            0.000,
     4.500,   78.600,            0.000,
     4.600,   78.600,            0.000,
     4.700,   78.600,            0.000,
     4.800,   78.600,            0.000,
     4.900,   78.600,            0.000,
     5.000,   78.600,            0.000,
     5.100,   73.540,            0.000,
     5.200,   73.540,            0.000,
     5.300,   73.540,            0.000,
     5.400,   73.540,            0.000,
     5.500,   73.540,            0.000,
     5.600,   73.540,            0.000,
     5.700,   73.540,            0.000,
     5.800,   73.540,            0.000,
     5.900,   73.540,            0.000,
     6.000,   73.540,            0.000,
     6.100,  126.176,            0.000,
     6.200,  107.060,            0.000,
     6.300,  107.060,            0.000,
     6.400,  107.060,            0.000,
     6.500,  107.060,            0.000,
     6.600,  107.060,            0.000,
     6.700,  107.060,            0.000,
     6.800,  107.060,            0.000,
     6.900,  107.060,            0.000,
     7.000,  107.060,            0.000,
     7.100,  220.931,            0.000,
     7.200,  179.180,            0.000,
     7.300,  179.180,            0.000,
     7.400,  179.180,            0.000,
     7.500,  179.180,            0.000,
     7.600,  179.180,            0.000,
     7.700,  179.180,            0.000,
     7.800,  179.180,            0.000,
     7.900,  179.180,            0.000,
     8.000,  179.180,            0.000,
     8.100,  252.020,            0.000,
     8.200,  252.036,            0.000,
     8.300,  252.040,            0.000,
     8.400,  252.040,            0.000,
     8.500,  252.050,            0.000,
     8.600,  252.050,            0.000,
     8.700,  252.058,            0.000,
     8.800,  252.070,            0.000,
     8.900,  252.070,            0.000,
     9.000,  252.070,            0.000,
     9.100,  252.076,            0.000,
     9.200,  252.062,            0.000,
     9.300,  252.060,            0.000,
     9.400,  252.050,            0.000,
     9.500,  252.050,            0.000,
     9.600,  252.050,            0.000,
     9.700,  252.042,            0.000,
     9.800,  252.040,            0.000,
     9.900,  252.036,            0.000,
    10.000,  252.030,            0.000,
    10.100,  214.191,            0.000,
    10.200,  153.880,            0.000,
    10.300,  153.880,            0.000,
    10.400,  153.880,            0.000,
    10.500,  153.880,            0.000,
    10.600,  153.880,            0.000,
    10.700,  153.880,            0.000,
    10.800,  153.880,            0.000,
    10.900,  153.880,            0.000,
    11.000,  153.880,            0.000,
    11.100,  124.160,            0.000,
    11.200,  124.160,            0.000,
    11.300,  124.160,            0.000,
    11.400,  124.160,            0.000,
    11.500,  124.160,            0.000,
    11.600,  124.160,            0.000,
    11.700,  124.160,            0.000,
    11.800,  124.160,            0.000,
    11.900,  124.160,            0.000,
    12.000,  124.160,            0.000,
    12.100,  119.080,            0.000,
    12.200,  119.080,            0.000,
    12.300,  119.080,            0.000,
    12.400,  119.080,            0.000,
    12.500,  119.080,            0.000,
    12.600,  119.080,            0.000,
    12.700,  119.080,            0.000,
    12.800,  119.080,            0.000,
    12.900,  119.080,            0.000,
    13.000,  119.080,            0.000,
    13.100,  111.500,            0.000,
    13.200,  111.500,            0.000,
    13.300,  111.500,            0.000,
    13.400,  111.500,            0.000,
    13.500,  111.500,            0.000,
    13.600,  111.500,            0.000,
    13.700,  111.500,            0.000,
    13.800,  111.500,            0.000,
    13.900,  111.500,            0.000,
    14.000,  111.500,            0.000,
    14.100,   98.220,            0.000,
    14.200,   98.220,            0.000,
    14.300,   98.220,            0.000,
    14.400,   98.220,            0.000,
    14.500,   98.220,            0.000,
    14.600,   98.220,            0.000,
    14.700,   98.220,            0.000,
    14.800,   98.220,            0.000,
    14.900,   98.220,            0.000,
    15.000,   98.220,            0.000,
    15.100,   86.820,            0.000,
    15.200,   86.820,            0.000,
    15.300,   86.820,            0.000,
    15.400,   86.820,            0.000,
    15.500,   86.820,            0.000,
    15.600,   86.820,            0.000,
    15.700,   86.820,            0.000,
    15.800,   86.820,            0.000,
    15.900,   86.820,            0.000,
    16.000,   86.820,            0.000,
    16.100,   78.600,            0.000,
    16.200,   78.600,            0.000,
    16.300,   78.600,            0.000,
    16.400,   78.600,            0.000,
    16.500,   78.600,            0.000,
    16.600,   78.600,            0.000,
    16.700,   78.600,            0.000,
    16.800,   78.600,            0.000,
    16.900,   78.600,            0.000,
    17.000,   78.600,            0.000,
    17.100,   72.280,            0.000,
    17.200,   72.280,            0.000,
    17.300,   72.280,            0.000,
    17.400,   72.280,            0.000,
    17.500,   72.280,            0.000,
    17.600,   72.280,            0.000,
    17.700,   72.280,            0.000,
    17.800,   72.280,            0.000,
    17.900,   72.280,            0.000,
    18.000,   72.280,            0.000,
    18.100,   67.220,            0.000,
    18.200,   67.220,            0.000,
    18.300,   67.220,            0.000,
    18.400,   67.220,            0.000,
    18.500,   67.220,            0.000,
    18.600,   67.220,            0.000,
    18.700,   67.220,            0.000,
    18.800,   67.220,            0.000,
    18.900,   67.220,            0.000,
    19.000,   67.220,            0.000,
    19.100,   64.680,            0.000,
    19.200,   64.680,            0.000,
    19.300,   64.680,            0.000,
    19.400,   64.680,            0.000,
    19.500,   64.680,            0.000,
    19.600,   64.680,            0.000,
    19.700,   64.680,            0.000,
    19.800,   64.680,            0.000,
    19.900,   64.680,            0.000,
    20.000,   64.680,            0.000,
    20.100,   65.960,            0.000,
    20.200,   65.960,            0.000,
    20.300,   65.960,            0.000,
    20.400,   65.960,            0.000,
    20.500,   65.960,            0.000,
    20.600,   65.960,            0.000,
    20.700,   65.960,            0.000,
    20.800,   65.960,            0.000,
    20.900,   65.960,            0.000,
    21.000,   65.960,            0.000,
    21.100,   65.320,            0.000,
    21.200,   65.320,            0.000,
    21.300,   65.320,            0.000,
    21.400,   65.320,            0.000,
    21.500,   65.320,            0.000,
    21.600,   65.320,            0.000,
    21.700,   65.320,            0.000,
    21.800,   65.320,            0.000,
    21.900,   65.320,            0.000,
    22.000,   65.320,            0.000,
    22.100,   60.380,            0.000,
    22.200,   60.380,            0.000,
    22.300,   60.380,            0.000,
    22.400,   60.380,            0.000,
    22.500,   60.380,            0.000,
    22.600,   60.380,            0.000,
    22.700,   60.380,            0.000,
    22.800,   60.380,            0.000,
    22.900,   60.380,            0.000,
    23.000,   60.380,            0.000,
    23.100,   55.580,            0.000,
    23.200,   55.580,            0.000,
    23.300,   55.580,            0.000,
    23.400,   55.580,            0.000,
    23.500,   55.580,            0.000,
    23.600,   55.580,            0.000,
    23.700,   55.580,            0.000,
    23.800,   55.580,            0.000,
    23.900,   55.580,            0.000,
    24.000,   55.580,            0.000,
    24.100,   54.820,            0.000,
    24.200,   54.820,            0.000,
    24.300,   54.820,            0.000,
    24.400,   54.820,            0.000,
    24.500,   54.820,            0.000,
    24.600,   54.820,            0.000,
    24.700,   54.820,            0.000,
    24.800,   54.820,            0.000,
    24.900,   54.820,            0.000,
    25.000,   54.820,            0.000,
    25.100,   94.149,            0.000,
    25.200,   79.860,            0.000,
    25.300,   79.860,            0.000,
    25.400,   79.860,            0.000,
    25.500,   79.860,            0.000,
    25.600,   79.860,            0.000,
    25.700,   79.860,            0.000,
    25.800,   79.860,            0.000,
    25.900,   79.860,            0.000,
    26.000,   79.860,            0.000,
    26.100,   33.980,            0.000,
    26.200,   33.980,            0.000,
    26.300,   33.980,            0.000,
    26.400,   33.980,            0.000,
    26.500,   33.980,            0.000,
    26.600,   33.980,            0.000,
    26.700,   33.980,            0.000,
    26.800,   33.980,            0.000,
    26.900,   33.980,            0.000,
    27.000,   33.980,            0.000,
    27.100,   33.980,            0.000,
    27.200,  252.062,            0.000,
    27.300,  252.038,            0.000,
    27.400,  137.346,            0.000,
    27.500,   65.960,            0.000,
    27.600,   65.960,            0.000,
    27.700,   65.960,            0.000,
    27.800,   65.960,            0.000,
    27.900,   65.960,            0.000,
    28.000,   65.960,            0.000,
    28.100,   59.380,            0.000,
    28.200,   59.380,            0.000,
    28.300,   59.380,            0.000,
    28.400,   59.380,            0.000,
    28.500,   59.380,            0.000,
    28.600,   59.380,            0.000,
    28.700,   59.380,            0.000,
    28.800,   59.380,            0.000,
    28.900,   59.380,            0.000,
    29.000,   59.380,            0.000,
    29.100,   54.620,            0.000,
    29.200,   54.620,            0.000,
    29.300,   54.620,            0.000,
    29.400,   54.620,            0.000,
    29.500,   54.620,            0.000,
    29.600,   54.620,            0.000,
    29.700,   54.620,            0.000,
    29.800,   54.620,            0.000,
    29.900,   54.620,            0.000,
    30.000,   54.620,            0.000,
    30.100,   51.600,            0.000,
    30.200,   51.600,            0.000,
    30.300,   51.600,            0.000,
    30.400,   51.600,            0.000,
    30.500,   51.600,            0.000,
    30.600,   51.600,            0.000,
    30.700,   51.600,            0.000,
    30.800,   51.600,            0.000,
    30.900,   51.600,            0.000,
    31.000,   51.600,            0.000,
    31.100,   49.049,            0.000,
    31.200,   46.632,            0.000,
