$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,QWD(m3s-1)
     1.000,   11.3300
     1.100,   11.3300
     1.200,   11.3300
     1.300,   11.3300
     1.400,   11.3300
     1.500,   11.3300
     1.600,   11.3300
     1.700,   11.3300
     1.800,   11.3300
     1.900,   11.3300
     2.000,   11.3300
     2.100,   37.5763
     2.200,   38.0400
     2.300,   38.0400
     2.400,   38.0400
     2.500,   38.0400
     2.600,   38.0400
     2.700,   38.0400
     2.800,   38.0400
     2.900,   38.0400
     3.000,   38.0400
     3.100,   44.1333
     3.200,   42.1500
     3.300,   42.1500
     3.400,   42.1500
     3.500,   42.1500
     3.600,   42.1500
     3.700,   42.1500
     3.800,   42.1500
     3.900,   42.1500
     4.000,   42.1500
     4.100,   39.3000
     4.200,   39.3000
     4.300,   39.3000
     4.400,   39.3000
     4.500,   39.3000
     4.600,   39.3000
     4.700,   39.3000
     4.800,   39.3000
     4.900,   39.3000
     5.000,   39.3000
     5.100,   36.7700
     5.200,   36.7700
     5.300,   36.7700
     5.400,   36.7700
     5.500,   36.7700
     5.600,   36.7700
     5.700,   36.7700
     5.800,   36.7700
     5.900,   36.7700
     6.000,   36.7700
     6.100,   63.0882
     6.200,   53.5300
     6.300,   53.5300
     6.400,   53.5300
     6.500,   53.5300
     6.600,   53.5300
     6.700,   53.5300
     6.800,   53.5300
     6.900,   53.5300
     7.000,   53.5300
     7.100,  100.3667
     7.200,   89.5900
     7.300,   89.5900
     7.400,   89.5900
     7.500,   89.5900
     7.600,   89.5900
     7.700,   89.5900
     7.800,   89.5900
     7.900,   89.5900
     8.000,   89.5900
     8.100,  107.7121
     8.200,  107.7922
     8.300,  107.8659
     8.400,  107.9378
     8.500,  108.0199
     8.600,  108.0921
     8.700,  108.1641
     8.800,  108.2459
     8.900,  108.3178
     9.000,  108.3899
     9.100,  108.3579
     9.200,  108.2859
     9.300,  108.2241
     9.400,  108.1522
     9.500,  108.0901
     9.600,  108.0279
     9.700,  107.9559
     9.800,  107.8941
     9.900,  107.8281
    10.000,  107.7601
    10.100,   96.1213
    10.200,   76.9400
    10.300,   76.9400
    10.400,   76.9400
    10.500,   76.9400
    10.600,   76.9400
    10.700,   76.9400
    10.800,   76.9400
    10.900,   76.9400
    11.000,   76.9400
    11.100,   62.0800
    11.200,   62.0800
    11.300,   62.0800
    11.400,   62.0800
    11.500,   62.0800
    11.600,   62.0800
    11.700,   62.0800
    11.800,   62.0800
    11.900,   62.0800
    12.000,   62.0800
    12.100,   59.5400
    12.200,   59.5400
    12.300,   59.5400
    12.400,   59.5400
    12.500,   59.5400
    12.600,   59.5400
    12.700,   59.5400
    12.800,   59.5400
    12.900,   59.5400
    13.000,   59.5400
    13.100,   55.7500
    13.200,   55.7500
    13.300,   55.7500
    13.400,   55.7500
    13.500,   55.7500
    13.600,   55.7500
    13.700,   55.7500
    13.800,   55.7500
    13.900,   55.7500
    14.000,   55.7500
    14.100,   49.1100
    14.200,   49.1100
    14.300,   49.1100
    14.400,   49.1100
    14.500,   49.1100
    14.600,   49.1100
    14.700,   49.1100
    14.800,   49.1100
    14.900,   49.1100
    15.000,   49.1100
    15.100,   43.4100
    15.200,   43.4100
    15.300,   43.4100
    15.400,   43.4100
    15.500,   43.4100
    15.600,   43.4100
    15.700,   43.4100
    15.800,   43.4100
    15.900,   43.4100
    16.000,   43.4100
    16.100,   39.3000
    16.200,   39.3000
    16.300,   39.3000
    16.400,   39.3000
    16.500,   39.3000
    16.600,   39.3000
    16.700,   39.3000
    16.800,   39.3000
    16.900,   39.3000
    17.000,   39.3000
    17.100,   36.1400
    17.200,   36.1400
    17.300,   36.1400
    17.400,   36.1400
    17.500,   36.1400
    17.600,   36.1400
    17.700,   36.1400
    17.800,   36.1400
    17.900,   36.1400
    18.000,   36.1400
    18.100,   33.6100
    18.200,   33.6100
    18.300,   33.6100
    18.400,   33.6100
    18.500,   33.6100
    18.600,   33.6100
    18.700,   33.6100
    18.800,   33.6100
    18.900,   33.6100
    19.000,   33.6100
    19.100,   32.3400
    19.200,   32.3400
    19.300,   32.3400
    19.400,   32.3400
    19.500,   32.3400
    19.600,   32.3400
    19.700,   32.3400
    19.800,   32.3400
    19.900,   32.3400
    20.000,   32.3400
    20.100,   32.9800
    20.200,   32.9800
    20.300,   32.9800
    20.400,   32.9800
    20.500,   32.9800
    20.600,   32.9800
    20.700,   32.9800
    20.800,   32.9800
    20.900,   32.9800
    21.000,   32.9800
    21.100,   32.6600
    21.200,   32.6600
