JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
     1.000,    10.000,   441.090,     6.700,    -0.000,     0.118,     0.000,     0.500,    53.690,   825.110,     1.000,     6.700,  -167.936,     0.000,   229.371,   337.950,    34.183,    25.174,    23.000,     0.000,     0.000,     2.500,     2.500,     2.500, 0.000E+00, 0.000E+00,
     1.100,    10.000,   441.111,     6.690,     0.003,    40.345,     0.000,     0.500,    53.711,   825.110,     1.000,     6.690,  -169.564,     0.000,   229.011,   337.902,    34.785,    25.887,    23.001,     0.100,     0.000,     2.495,     2.496,     2.496, 0.000E+00, 0.000E+00,
     1.200,    10.000,   441.132,     6.680,     0.007,    34.053,     0.000,     0.499,    53.732,   825.110,     1.000,     6.680,  -153.821,     0.000,   234.130,   337.856,    30.653,    19.443,    23.002,     0.200,     0.000,     2.491,     2.491,     2.491, 0.000E+00, 0.000E+00,
     1.300,    10.000,   441.154,     6.671,     0.006,    34.635,     0.000,     0.499,    53.754,   825.110,     1.000,     6.671,  -150.833,     0.000,   242.700,   337.812,    31.529,    24.191,    23.003,     0.300,     0.000,     2.486,     2.487,     2.487, 0.000E+00, 0.000E+00,
     1.400,    10.000,   441.176,     6.663,     0.013,    34.469,     8.954,     0.498,    53.776,   825.110,     1.000,     6.663,  -114.011,     8.447,   263.050,   337.772,    27.809,    19.928,    23.004,     0.400,     0.001,     2.482,     2.482,     2.482, 0.000E+00, 0.000E+00,
     1.500,    10.000,   441.199,     6.658,    -0.004,    35.069,    36.867,     0.498,    53.799,   825.110,     1.000,     6.658,   -66.510,    34.780,   273.986,   337.746,    25.124,    12.405,    23.006,     0.500,     0.001,     2.477,     2.478,     2.478, 0.000E+00, 0.000E+00,
     1.600,    10.000,   441.226,     6.654,    -0.007,    35.302,    60.312,     0.498,    53.826,   825.110,     1.000,     6.654,   -43.932,    56.898,   271.465,   337.726,    25.108,     9.461,    23.007,     0.600,     0.002,     2.473,     2.475,     2.475, 0.000E+00, 0.000E+00,
     1.700,    10.000,   441.257,     6.649,    -0.006,    35.887,     9.988,     0.497,    53.857,   825.110,     1.000,     6.649,   -94.380,     9.423,   271.732,   337.706,    28.719,     9.110,    23.009,     0.699,     0.004,     2.469,     2.473,     2.473, 0.000E+00, 0.000E+00,
     1.800,    10.000,   441.293,     6.642,    -0.006,    36.367,     0.000,     0.497,    53.893,   825.110,     1.000,     6.642,  -109.712,     0.000,   269.462,   337.671,    31.172,    10.331,    23.012,     0.799,     0.008,     2.464,     2.473,     2.473, 0.000E+00, 0.000E+00,
     1.900,    10.000,   441.333,     6.635,     0.006,    36.404,     0.000,     0.497,    53.933,   825.110,     1.000,     6.635,  -112.642,     0.000,   266.503,   337.634,    30.019,    11.492,    23.014,     0.899,     0.014,     2.460,     2.474,     2.474, 0.000E+00, 0.000E+00,
