$Temperature file for segment 11
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
     1.000,    6.70,            6.70,
     1.100,    6.69,            6.69,
     1.200,    6.68,            6.68,
     1.300,    6.68,            6.68,
     1.400,    6.67,            6.67,
     1.500,    6.66,            6.66,
     1.600,    6.66,            6.66,
     1.700,    6.66,            6.66,
     1.800,    6.65,            6.65,
     1.900,    6.65,            6.65,
     2.000,    6.64,            6.64,
     2.100,    6.63,          -99.00,
     2.200,    6.63,          -99.00,
     2.300,    6.62,          -99.00,
     2.400,    6.61,          -99.00,
     2.500,    6.62,          -99.00,
     2.600,    6.62,          -99.00,
     2.700,    6.62,          -99.00,
     2.800,    6.62,          -99.00,
     2.900,    6.61,          -99.00,
     3.000,    6.60,          -99.00,
     3.100,    6.59,          -99.00,
     3.200,    6.58,          -99.00,
     3.300,    6.57,          -99.00,
     3.400,    6.57,          -99.00,
     3.500,    6.57,          -99.00,
     3.600,    6.57,          -99.00,
     3.700,    6.58,          -99.00,
     3.800,    6.57,          -99.00,
     3.900,    6.56,          -99.00,
     4.000,    6.55,          -99.00,
     4.100,    6.54,          -99.00,
     4.200,    6.53,          -99.00,
     4.300,    6.52,          -99.00,
     4.400,    6.51,          -99.00,
     4.500,    6.50,          -99.00,
     4.600,    6.50,          -99.00,
     4.700,    6.50,          -99.00,
     4.800,    6.48,          -99.00,
     4.900,    6.47,          -99.00,
     5.000,    6.46,          -99.00,
     5.100,    6.44,          -99.00,
     5.200,    6.43,          -99.00,
     5.300,    6.42,          -99.00,
     5.400,    6.41,          -99.00,
     5.500,    6.41,          -99.00,
     5.600,    6.40,          -99.00,
     5.700,    6.39,          -99.00,
     5.800,    6.38,          -99.00,
     5.900,    6.37,          -99.00,
     6.000,    6.36,          -99.00,
     6.100,    6.35,          -99.00,
     6.200,    6.34,          -99.00,
     6.300,    6.33,          -99.00,
     6.400,    6.32,          -99.00,
     6.500,    6.32,          -99.00,
     6.600,    6.32,          -99.00,
     6.700,    6.32,          -99.00,
     6.800,    6.31,          -99.00,
     6.900,    6.30,          -99.00,
     7.000,    6.29,          -99.00,
     7.100,    6.28,          -99.00,
     7.200,    6.27,          -99.00,
     7.300,    6.26,          -99.00,
     7.400,    6.25,          -99.00,
     7.500,    6.24,          -99.00,
     7.600,    6.23,          -99.00,
     7.700,    6.22,          -99.00,
     7.800,    6.20,          -99.00,
     7.900,    6.18,          -99.00,
     8.000,    6.17,          -99.00,
     8.100,    6.15,          -99.00,
     8.200,    6.13,          -99.00,
     8.300,    6.12,          -99.00,
     8.400,    6.10,          -99.00,
     8.500,    6.10,          -99.00,
     8.600,    6.10,          -99.00,
