$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,T(C)
     1.000,    6.70
     1.100,    6.69
     1.200,    6.68
     1.300,    6.68
     1.400,    6.67
     1.500,    6.66
     1.600,    6.66
     1.700,    6.66
     1.800,    6.65
     1.900,    6.65
     2.000,    6.64
     2.100,  -99.00
     2.200,  -99.00
     2.300,  -99.00
     2.400,  -99.00
     2.500,  -99.00
     2.600,  -99.00
     2.700,  -99.00
     2.800,  -99.00
     2.900,  -99.00
     3.000,  -99.00
     3.100,  -99.00
     3.200,  -99.00
     3.300,  -99.00
     3.400,  -99.00
     3.500,  -99.00
     3.600,  -99.00
     3.700,  -99.00
     3.800,  -99.00
     3.900,  -99.00
     4.000,  -99.00
     4.100,  -99.00
     4.200,  -99.00
     4.300,  -99.00
     4.400,  -99.00
     4.500,  -99.00
     4.600,  -99.00
     4.700,  -99.00
     4.800,  -99.00
     4.900,  -99.00
     5.000,  -99.00
     5.100,  -99.00
     5.200,  -99.00
     5.300,  -99.00
     5.400,  -99.00
     5.500,  -99.00
     5.600,  -99.00
     5.700,  -99.00
     5.800,  -99.00
     5.900,  -99.00
     6.000,  -99.00
     6.100,  -99.00
     6.200,  -99.00
     6.300,  -99.00
     6.400,  -99.00
     6.500,  -99.00
     6.600,  -99.00
     6.700,  -99.00
     6.800,  -99.00
     6.900,  -99.00
     7.000,  -99.00
     7.100,  -99.00
     7.200,  -99.00
     7.300,  -99.00
     7.400,  -99.00
     7.500,  -99.00
     7.600,  -99.00
     7.700,  -99.00
     7.800,  -99.00
     7.900,  -99.00
     8.000,  -99.00
     8.100,  -99.00
     8.200,  -99.00
     8.300,  -99.00
     8.400,  -99.00
     8.500,  -99.00
     8.600,  -99.00
     8.700,  -99.00
     8.800,  -99.00
     8.900,  -99.00
     9.000,  -99.00
     9.100,  -99.00
     9.200,  -99.00
     9.300,  -99.00
     9.400,  -99.00
     9.500,  -99.00
     9.600,  -99.00
     9.700,  -99.00
     9.800,  -99.00
     9.900,  -99.00
    10.000,  -99.00
    10.100,  -99.00
    10.200,  -99.00
    10.300,  -99.00
    10.400,  -99.00
    10.500,  -99.00
    10.600,  -99.00
    10.700,  -99.00
    10.800,  -99.00
    10.900,  -99.00
    11.000,  -99.00
    11.100,  -99.00
    11.200,  -99.00
    11.300,  -99.00
    11.400,  -99.00
    11.500,  -99.00
    11.600,  -99.00
    11.700,  -99.00
    11.800,  -99.00
    11.900,  -99.00
    12.000,  -99.00
    12.100,  -99.00
    12.200,  -99.00
    12.300,  -99.00
    12.400,  -99.00
    12.500,  -99.00
    12.600,  -99.00
    12.700,  -99.00
    12.800,  -99.00
    12.900,  -99.00
    13.000,  -99.00
    13.100,  -99.00
    13.200,  -99.00
    13.300,  -99.00
    13.400,  -99.00
    13.500,  -99.00
    13.600,  -99.00
    13.700,  -99.00
    13.800,  -99.00
    13.900,  -99.00
    14.000,  -99.00
    14.100,  -99.00
    14.200,  -99.00
    14.300,  -99.00
    14.400,  -99.00
    14.500,  -99.00
    14.600,  -99.00
    14.700,  -99.00
    14.800,  -99.00
    14.900,  -99.00
    15.000,  -99.00
    15.100,  -99.00
    15.200,  -99.00
    15.300,  -99.00
    15.400,  -99.00
    15.500,  -99.00
    15.600,  -99.00
    15.700,  -99.00
    15.800,  -99.00
    15.900,  -99.00
    16.000,  -99.00
    16.100,  -99.00
    16.200,  -99.00
    16.300,  -99.00
    16.400,  -99.00
    16.500,  -99.00
    16.600,  -99.00
    16.700,  -99.00
    16.800,  -99.00
    16.900,  -99.00
    17.000,  -99.00
    17.100,  -99.00
    17.200,  -99.00
    17.300,  -99.00
    17.400,  -99.00
    17.500,  -99.00
    17.600,  -99.00
    17.700,  -99.00
    17.800,  -99.00
    17.900,  -99.00
    18.000,  -99.00
    18.100,  -99.00
    18.200,  -99.00
    18.300,  -99.00
    18.400,  -99.00
    18.500,  -99.00
    18.600,  -99.00
    18.700,  -99.00
    18.800,  -99.00
    18.900,  -99.00
    19.000,  -99.00
    19.100,  -99.00
    19.200,  -99.00
    19.300,  -99.00
    19.400,  -99.00
    19.500,  -99.00
    19.600,  -99.00
    19.700,  -99.00
    19.800,  -99.00
    19.900,  -99.00
    20.000,  -99.00
    20.100,  -99.00
    20.200,  -99.00
    20.300,  -99.00
    20.400,  -99.00
    20.500,  -99.00
    20.600,  -99.00
    20.700,  -99.00
    20.800,  -99.00
    20.900,  -99.00
    21.000,  -99.00
    21.100,  -99.00
    21.200,  -99.00
    21.300,  -99.00
    21.400,  -99.00
    21.500,  -99.00
    21.600,  -99.00
    21.700,  -99.00
    21.800,  -99.00
    21.900,  -99.00
    22.000,  -99.00
    22.100,  -99.00
    22.200,  -99.00
    22.300,  -99.00
    22.400,  -99.00
    22.500,  -99.00
    22.600,  -99.00
    22.700,  -99.00
    22.800,  -99.00
    22.900,  -99.00
    23.000,  -99.00
    23.100,  -99.00
    23.200,  -99.00
    23.300,  -99.00
    23.400,  -99.00
    23.500,  -99.00
    23.600,  -99.00
    23.700,  -99.00
    23.800,  -99.00
    23.900,  -99.00
    24.000,  -99.00
    24.100,  -99.00
    24.200,  -99.00
    24.300,  -99.00
    24.400,  -99.00
    24.500,  -99.00
    24.600,  -99.00
    24.700,  -99.00
    24.800,  -99.00
    24.900,  -99.00
    25.000,  -99.00
    25.100,  -99.00
    25.200,  -99.00
    25.300,  -99.00
    25.400,  -99.00
    25.500,  -99.00
    25.600,  -99.00
    25.700,  -99.00
    25.800,  -99.00
    25.900,  -99.00
    26.000,  -99.00
    26.100,  -99.00
    26.200,  -99.00
    26.300,  -99.00
    26.400,  -99.00
    26.500,  -99.00
    26.600,  -99.00
    26.700,  -99.00
    26.800,  -99.00
    26.900,  -99.00
    27.000,  -99.00
    27.100,  -99.00
    27.200,  -99.00
    27.300,  -99.00
    27.400,  -99.00
    27.500,  -99.00
    27.600,  -99.00
    27.700,  -99.00
    27.800,  -99.00
    27.900,  -99.00
    28.000,  -99.00
    28.100,  -99.00
    28.200,  -99.00
    28.300,  -99.00
    28.400,  -99.00
    28.500,  -99.00
    28.600,  -99.00
    28.700,  -99.00
    28.800,  -99.00
    28.900,  -99.00
    29.000,  -99.00
    29.100,  -99.00
    29.200,  -99.00
    29.300,  -99.00
    29.400,  -99.00
    29.500,  -99.00
    29.600,  -99.00
    29.700,  -99.00
    29.800,  -99.00
    29.900,  -99.00
    30.000,  -99.00
    30.100,  -99.00
    30.200,  -99.00
    30.300,  -99.00
    30.400,  -99.00
    30.500,  -99.00
    30.600,  -99.00
    30.700,  -99.00
    30.800,  -99.00
    30.900,  -99.00
    31.000,  -99.00
    31.100,  -99.00
    31.200,  -99.00
    31.300,  -99.00
    31.400,  -99.00
    31.500,  -99.00
    31.600,  -99.00
    31.700,  -99.00
    31.800,  -99.00
    31.900,  -99.00
    32.000,  -99.00
    32.100,  -99.00
    32.200,  -99.00
    32.300,  -99.00
    32.400,  -99.00
    32.500,  -99.00
    32.600,  -99.00
    32.700,  -99.00
    32.800,  -99.00
    32.900,  -99.00
    33.000,  -99.00
    33.100,  -99.00
    33.200,  -99.00
    33.300,  -99.00
    33.400,  -99.00
    33.500,  -99.00
    33.600,  -99.00
    33.700,  -99.00
    33.800,  -99.00
    33.900,  -99.00
    34.000,  -99.00
    34.100,  -99.00
    34.200,  -99.00
    34.300,  -99.00
    34.400,  -99.00
    34.500,  -99.00
    34.600,  -99.00
    34.700,  -99.00
    34.800,  -99.00
    34.900,  -99.00
    35.000,  -99.00
    35.100,  -99.00
    35.200,  -99.00
    35.300,  -99.00
    35.400,  -99.00
    35.500,  -99.00
    35.600,  -99.00
    35.700,  -99.00
    35.800,  -99.00
    35.900,  -99.00
    36.000,  -99.00
    36.100,  -99.00
    36.200,  -99.00
    36.300,  -99.00
    36.400,  -99.00
    36.500,  -99.00
    36.600,  -99.00
    36.700,  -99.00
    36.800,  -99.00
    36.900,  -99.00
    37.000,  -99.00
    37.100,  -99.00
    37.200,  -99.00
    37.300,  -99.00
    37.400,  -99.00
    37.500,  -99.00
    37.600,  -99.00
    37.700,  -99.00
    37.800,  -99.00
    37.900,  -99.00
    38.000,  -99.00
    38.100,  -99.00
    38.200,  -99.00
    38.300,  -99.00
    38.400,  -99.00
    38.500,  -99.00
    38.600,  -99.00
    38.700,  -99.00
    38.800,  -99.00
    38.900,  -99.00
    39.000,  -99.00
    39.100,  -99.00
    39.200,  -99.00
    39.300,  -99.00
    39.400,  -99.00
    39.500,  -99.00
    39.600,  -99.00
    39.700,  -99.00
    39.800,  -99.00
    39.900,  -99.00
    40.000,  -99.00
    40.100,  -99.00
    40.200,  -99.00
    40.300,  -99.00
    40.400,  -99.00
    40.500,  -99.00
    40.600,  -99.00
    40.700,  -99.00
    40.800,  -99.00
    40.900,  -99.00
    41.000,  -99.00
    41.100,  -99.00
    41.200,  -99.00
    41.300,  -99.00
    41.400,  -99.00
    41.500,  -99.00
    41.600,  -99.00
    41.700,  -99.00
    41.800,  -99.00
    41.900,  -99.00
    42.000,  -99.00
    42.100,  -99.00
    42.200,  -99.00
    42.300,  -99.00
    42.400,  -99.00
    42.500,  -99.00
    42.600,  -99.00
    42.700,  -99.00
    42.800,  -99.00
    42.900,  -99.00
    43.000,  -99.00
    43.100,  -99.00
    43.200,  -99.00
    43.300,  -99.00
    43.400,  -99.00
    43.500,  -99.00
    43.600,  -99.00
    43.700,  -99.00
    43.800,  -99.00
    43.900,  -99.00
    44.000,  -99.00
    44.100,  -99.00
    44.200,  -99.00
    44.300,  -99.00
    44.400,  -99.00
    44.500,  -99.00
    44.600,  -99.00
    44.700,  -99.00
    44.800,  -99.00
    44.900,  -99.00
    45.000,  -99.00
    45.100,  -99.00
    45.200,  -99.00
    45.300,  -99.00
    45.400,  -99.00
    45.500,  -99.00
    45.600,  -99.00
    45.700,  -99.00
    45.800,  -99.00
    45.900,  -99.00
    46.000,  -99.00
    46.100,  -99.00
    46.200,  -99.00
    46.300,  -99.00
    46.400,  -99.00
    46.500,  -99.00
    46.600,  -99.00
    46.700,  -99.00
    46.800,  -99.00
    46.900,  -99.00
    47.000,  -99.00
    47.100,  -99.00
    47.200,  -99.00
    47.300,  -99.00
    47.400,  -99.00
    47.500,  -99.00
    47.600,  -99.00
    47.700,  -99.00
    47.800,  -99.00
    47.900,  -99.00
    48.000,  -99.00
    48.100,  -99.00
    48.200,  -99.00
    48.300,  -99.00
    48.400,  -99.00
    48.500,  -99.00
    48.600,  -99.00
    48.700,  -99.00
    48.800,  -99.00
    48.900,  -99.00
    49.000,  -99.00
    49.100,  -99.00
    49.200,  -99.00
    49.300,  -99.00
    49.400,  -99.00
    49.500,  -99.00
    49.600,  -99.00
    49.700,  -99.00
    49.800,  -99.00
    49.900,  -99.00
    50.000,  -99.00
    50.100,  -99.00
    50.200,  -99.00
    50.300,  -99.00
    50.400,  -99.00
    50.500,  -99.00
    50.600,  -99.00
    50.700,  -99.00
    50.800,  -99.00
    50.900,  -99.00
    51.000,  -99.00
    51.100,  -99.00
    51.200,  -99.00
    51.300,  -99.00
    51.400,  -99.00
    51.500,  -99.00
    51.600,  -99.00
    51.700,  -99.00
    51.800,  -99.00
    51.900,  -99.00
    52.000,  -99.00
    52.100,  -99.00
    52.200,  -99.00
    52.300,  -99.00
    52.400,  -99.00
    52.500,  -99.00
    52.600,  -99.00
    52.700,  -99.00
    52.800,  -99.00
    52.900,  -99.00
    53.000,  -99.00
    53.100,  -99.00
    53.200,  -99.00
    53.300,  -99.00
    53.400,  -99.00
    53.500,  -99.00
    53.600,  -99.00
    53.700,  -99.00
    53.800,  -99.00
    53.900,  -99.00
    54.000,  -99.00
    54.100,  -99.00
    54.200,  -99.00
    54.300,  -99.00
    54.400,  -99.00
    54.500,  -99.00
    54.600,  -99.00
    54.700,  -99.00
    54.800,  -99.00
    54.900,  -99.00
    55.000,  -99.00
    55.100,  -99.00
    55.200,  -99.00
    55.300,  -99.00
    55.400,  -99.00
    55.500,  -99.00
    55.600,  -99.00
    55.700,  -99.00
    55.800,  -99.00
    55.900,  -99.00
    56.000,  -99.00
    56.100,  -99.00
    56.200,  -99.00
    56.300,  -99.00
    56.400,  -99.00
    56.500,  -99.00
    56.600,  -99.00
    56.700,  -99.00
    56.800,  -99.00
    56.900,  -99.00
    57.000,  -99.00
    57.100,  -99.00
    57.200,  -99.00
    57.300,  -99.00
    57.400,  -99.00
    57.500,  -99.00
    57.600,  -99.00
