$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,T(C)
     1.000,    6.70
     1.100,    6.69
     1.200,    6.68
     1.300,    6.68
     1.400,    6.67
     1.500,    6.66
     1.600,    6.66
     1.700,    6.66
     1.800,    6.65
     1.900,    6.65
     2.000,    6.64
     2.100,    6.63
     2.200,    6.63
     2.300,    6.62
     2.400,    6.61
     2.500,    6.62
     2.600,    6.62
     2.700,    6.63
     2.800,    6.63
     2.900,    6.62
     3.000,    6.60
     3.100,    6.59
     3.200,    6.58
     3.300,    6.57
     3.400,    6.57
     3.500,    6.57
     3.600,    6.58
     3.700,    6.59
     3.800,    6.58
     3.900,    6.57
     4.000,    6.55
     4.100,    6.54
     4.200,    6.53
     4.300,    6.52
     4.400,    6.51
     4.500,    6.50
     4.600,    6.51
     4.700,    6.50
     4.800,    6.48
     4.900,    6.47
     5.000,    6.46
     5.100,    6.44
     5.200,    6.43
     5.300,    6.42
     5.400,    6.41
     5.500,    6.41
     5.600,    6.41
     5.700,    6.40
     5.800,    6.39
     5.900,    6.38
     6.000,    6.37
     6.100,    6.36
     6.200,    6.35
     6.300,    6.35
     6.400,    6.34
     6.500,    6.34
     6.600,    6.35
     6.700,    6.34
     6.800,    6.34
     6.900,    6.33
     7.000,    6.32
     7.100,    6.30
     7.200,    6.29
     7.300,    6.28
     7.400,    6.27
     7.500,    6.26
     7.600,    6.26
     7.700,    6.24
     7.800,    6.22
     7.900,    6.20
     8.000,    6.18
     8.100,    6.16
     8.200,    6.14
     8.300,    6.12
     8.400,    6.11
     8.500,    6.11
     8.600,    6.11
     8.700,    6.10
     8.800,    6.09
     8.900,    6.07
     9.000,    6.05
     9.100,    6.04
     9.200,    6.03
     9.300,    6.02
     9.400,    6.01
     9.500,    6.01
     9.600,    6.02
     9.700,    6.02
     9.800,    6.01
     9.900,    6.00
    10.000,    5.99
    10.100,    5.98
    10.200,    5.96
    10.300,    5.95
    10.400,    5.94
    10.500,    5.94
    10.600,    5.95
    10.700,    5.96
    10.800,    5.95
    10.900,    5.94
    11.000,    5.93
    11.100,    5.92
    11.200,    5.91
    11.300,    5.90
    11.400,    5.88
    11.500,    5.88
    11.600,    5.89
    11.700,    5.89
    11.800,    5.88
    11.900,    5.87
    12.000,    5.86
    12.100,    5.85
    12.200,    5.84
    12.300,    5.83
    12.400,    5.82
    12.500,    5.82
    12.600,    5.83
    12.700,    5.83
    12.800,    5.81
    12.900,    5.79
    13.000,    5.77
    13.100,    5.76
    13.200,    5.74
    13.300,    5.72
    13.400,    5.70
    13.500,    5.70
    13.600,    5.70
    13.700,    5.70
    13.800,    5.69
    13.900,    5.68
    14.000,    5.67
    14.100,    5.65
    14.200,    5.65
    14.300,    5.64
    14.400,    5.63
    14.500,    5.63
    14.600,    5.63
    14.700,    5.62
    14.800,    5.61
    14.900,    5.61
    15.000,    5.61
    15.100,    5.61
    15.200,    5.61
    15.300,    5.60
    15.400,    5.59
    15.500,    5.59
    15.600,    5.59
    15.700,    5.58
    15.800,    5.57
    15.900,    5.56
    16.000,    5.55
    16.100,    5.54
    16.200,    5.53
    16.300,    5.52
    16.400,    5.51
    16.500,    5.50
    16.600,    5.49
    16.700,    5.49
    16.800,    5.48
    16.900,    5.47
    17.000,    5.46
    17.100,    5.45
    17.200,    5.44
    17.300,    5.43
    17.400,    5.42
    17.500,    5.42
    17.600,    5.41
    17.700,    5.41
    17.800,    5.40
    17.900,    5.39
    18.000,    5.38
    18.100,    5.37
    18.200,    5.36
    18.300,    5.35
    18.400,    5.34
    18.500,    5.34
    18.600,    5.33
    18.700,    5.33
    18.800,    5.32
    18.900,    5.31
    19.000,    5.30
    19.100,    5.29
    19.200,    5.28
    19.300,    5.27
    19.400,    5.26
    19.500,    5.26
    19.600,    5.26
    19.700,    5.26
    19.800,    5.25
    19.900,    5.23
    20.000,    5.22
    20.100,    5.20
    20.200,    5.19
    20.300,    5.17
    20.400,    5.16
    20.500,    5.15
    20.600,    5.14
    20.700,    5.14
    20.800,    5.12
    20.900,    5.11
    21.000,    5.10
    21.100,    5.08
    21.200,    5.07
    21.300,    5.05
    21.400,    5.03
    21.500,    5.02
    21.600,    5.02
    21.700,    5.01
    21.800,    5.00
    21.900,    4.98
    22.000,    4.97
    22.100,    4.95
    22.200,    4.94
    22.300,    4.92
    22.400,    4.91
    22.500,    4.90
    22.600,    4.90
    22.700,    4.90
    22.800,    4.89
    22.900,    4.87
    23.000,    4.86
    23.100,    4.85
    23.200,    4.84
    23.300,    4.83
    23.400,    4.82
    23.500,    4.81
    23.600,    4.81
    23.700,    4.80
    23.800,    4.80
    23.900,    4.79
    24.000,    4.78
    24.100,    4.77
    24.200,    4.76
    24.300,    4.75
    24.400,    4.74
    24.500,    4.74
    24.600,    4.74
    24.700,    4.74
    24.800,    4.73
    24.900,    4.72
    25.000,    4.72
    25.100,    4.71
    25.200,    4.70
    25.300,    4.69
    25.400,    4.68
    25.500,    4.68
    25.600,    4.68
    25.700,    4.67
    25.800,    4.66
    25.900,    4.65
    26.000,    4.63
    26.100,    4.62
    26.200,    4.60
    26.300,    4.59
    26.400,    4.58
    26.500,    4.58
    26.600,    4.59
    26.700,    4.58
    26.800,    4.57
    26.900,    4.56
    27.000,    4.55
    27.100,    4.53
    27.200,    4.51
    27.300,    4.50
    27.400,    4.49
    27.500,    4.48
    27.600,    4.48
    27.700,    4.48
    27.800,    4.47
    27.900,    4.45
    28.000,    4.44
    28.100,    4.43
    28.200,    4.42
    28.300,    4.41
    28.400,    4.40
    28.500,    4.40
    28.600,    4.40
    28.700,    4.40
    28.800,    4.39
    28.900,    4.38
    29.000,    4.37
    29.100,    4.36
    29.200,    4.35
    29.300,    4.34
    29.400,    4.33
    29.500,    4.33
    29.600,    4.33
    29.700,    4.33
    29.800,    4.32
    29.900,    4.31
    30.000,    4.30
    30.100,    4.29
    30.200,    4.28
    30.300,    4.27
    30.400,    4.25
    30.500,    4.25
    30.600,    4.24
    30.700,    4.24
    30.800,    4.23
    30.900,    4.21
    31.000,    4.20
    31.100,    4.18
    31.200,    4.17
    31.300,    4.16
    31.400,    4.15
    31.500,    4.14
    31.600,    4.13
    31.700,    4.12
    31.800,    4.11
    31.900,    4.09
    32.000,    4.08
    32.100,    4.06
    32.200,    4.05
    32.300,    4.03
    32.400,    4.01
    32.500,    4.00
    32.600,    3.98
    32.700,    3.96
    32.800,    3.92
    32.900,    3.85
    33.000,    3.77
    33.100,    3.73
    33.200,    3.70
    33.300,    3.67
    33.400,    3.65
    33.500,    3.64
    33.600,    3.65
    33.700,    3.66
    33.800,    3.65
    33.900,    3.64
    34.000,    3.64
    34.100,    3.65
    34.200,    3.65
    34.300,    3.66
    34.400,    3.66
    34.500,    3.69
    34.600,    3.72
    34.700,    3.74
    34.800,    3.75
    34.900,    3.75
    35.000,    3.74
    35.100,    3.74
    35.200,    3.73
    35.300,    3.73
    35.400,    3.72
    35.500,    3.73
    35.600,    3.76
    35.700,    3.77
    35.800,    3.77
    35.900,    3.77
    36.000,    3.76
    36.100,    3.76
    36.200,    3.75
    36.300,    3.74
    36.400,    3.73
    36.500,    3.73
    36.600,    3.73
    36.700,    3.74
    36.800,    3.73
    36.900,    3.72
    37.000,    3.71
    37.100,    3.70
    37.200,    3.68
    37.300,    3.67
    37.400,    3.63
    37.500,    3.63
    37.600,    3.64
    37.700,    3.64
    37.800,    3.64
    37.900,    3.64
    38.000,    3.64
    38.100,    3.64
    38.200,    3.64
    38.300,    3.64
    38.400,    3.64
    38.500,    3.64
    38.600,    3.64
    38.700,    3.65
    38.800,    3.64
    38.900,    3.64
    39.000,    3.64
    39.100,    3.64
    39.200,    3.64
    39.300,    3.64
    39.400,    3.64
    39.500,    3.65
    39.600,    3.66
    39.700,    3.68
    39.800,    3.68
    39.900,    3.68
    40.000,    3.67
    40.100,    3.67
    40.200,    3.67
    40.300,    3.66
    40.400,    3.66
    40.500,    3.67
    40.600,    3.69
    40.700,    3.70
    40.800,    3.70
    40.900,    3.69
    41.000,    3.69
    41.100,    3.68
    41.200,    3.68
    41.300,    3.67
    41.400,    3.67
    41.500,    3.68
    41.600,    3.70
    41.700,    3.71
    41.800,    3.71
    41.900,    3.71
    42.000,    3.70
    42.100,    3.70
    42.200,    3.70
    42.300,    3.69
    42.400,    3.68
    42.500,    3.69
    42.600,    3.70
    42.700,    3.70
    42.800,    3.70
    42.900,    3.70
    43.000,    3.69
    43.100,    3.69
    43.200,    3.68
    43.300,    3.67
    43.400,    3.66
    43.500,    3.66
    43.600,    3.67
    43.700,    3.68
    43.800,    3.68
    43.900,    3.67
    44.000,    3.67
    44.100,    3.66
    44.200,    3.66
    44.300,    3.65
    44.400,    3.64
    44.500,    3.65
    44.600,    3.66
    44.700,    3.67
    44.800,    3.67
    44.900,    3.67
    45.000,    3.66
    45.100,    3.66
    45.200,    3.66
    45.300,    3.65
    45.400,    3.65
    45.500,    3.66
    45.600,    3.68
    45.700,    3.70
    45.800,    3.71
    45.900,    3.71
    46.000,    3.71
    46.100,    3.71
    46.200,    3.70
    46.300,    3.70
    46.400,    3.70
    46.500,    3.71
    46.600,    3.74
    46.700,    3.76
    46.800,    3.76
    46.900,    3.76
    47.000,    3.76
    47.100,    3.76
    47.200,    3.75
    47.300,    3.75
    47.400,    3.73
    47.500,    3.74
    47.600,    3.74
    47.700,    3.76
    47.800,    3.77
    47.900,    3.77
    48.000,    3.77
    48.100,    3.76
    48.200,    3.75
    48.300,    3.75
    48.400,    3.75
    48.500,    3.75
    48.600,    3.77
    48.700,    3.78
    48.800,    3.78
    48.900,    3.78
    49.000,    3.78
    49.100,    3.78
    49.200,    3.79
    49.300,    3.80
    49.400,    3.78
    49.500,    3.80
    49.600,    3.82
    49.700,    3.83
    49.800,    3.84
    49.900,    3.84
    50.000,    3.84
    50.100,    3.84
    50.200,    3.85
    50.300,    3.85
    50.400,    3.85
    50.500,    3.86
    50.600,    3.86
    50.700,    3.87
    50.800,    3.87
    50.900,    3.87
    51.000,    3.87
    51.100,    3.87
    51.200,    3.87
    51.300,    3.86
    51.400,    3.86
    51.500,    3.87
    51.600,    3.89
    51.700,    3.90
    51.800,    3.91
    51.900,    3.91
    52.000,    3.91
    52.100,    3.91
    52.200,    3.92
    52.300,    3.92
    52.400,    3.93
    52.500,    3.95
    52.600,    3.97
    52.700,    3.99
    52.800,    4.00
    52.900,    4.00
    53.000,    4.00
    53.100,    4.00
    53.200,    4.00
    53.300,    4.00
    53.400,    4.00
    53.500,    4.02
    53.600,    4.03
    53.700,    4.03
    53.800,    4.04
    53.900,    4.04
    54.000,    4.02
    54.100,    4.02
    54.200,    4.01
    54.300,    4.01
    54.400,    4.01
    54.500,    4.04
    54.600,    4.05
    54.700,    4.05
    54.800,    4.03
    54.900,    4.02
    55.000,    4.01
    55.100,    4.01
    55.200,    4.01
    55.300,    4.00
    55.400,    3.99
    55.500,    4.00
    55.600,    4.00
    55.700,    4.00
    55.800,    4.00
    55.900,    3.99
    56.000,    3.99
    56.100,    3.99
    56.200,    3.99
    56.300,    3.99
    56.400,    4.00
    56.500,    4.01
    56.600,    4.03
    56.700,    4.04
    56.800,    4.04
    56.900,    4.04
    57.000,    4.04
    57.100,    4.05
    57.200,    4.05
    57.300,    4.05
    57.400,    4.06
    57.500,    4.08
    57.600,    4.12
    57.700,    4.11
    57.800,    4.13
    57.900,    4.14
    58.000,    4.15
    58.100,    4.15
    58.200,    4.14
    58.300,    4.15
    58.400,    4.19
    58.500,    4.29
    58.600,    4.34
    58.700,    4.36
    58.800,    4.38
    58.900,    4.40
    59.000,    4.40
    59.100,    4.40
    59.200,    4.41
    59.300,    4.42
    59.400,    4.42
    59.500,    4.49
    59.600,    4.49
    59.700,    4.51
    59.800,    4.50
    59.900,    4.52
    60.000,    4.52
    60.100,    4.53
    60.200,    4.53
    60.300,    4.55
    60.400,    4.57
    60.500,    4.58
    60.600,    4.58
    60.700,    4.58
    60.800,    4.59
    60.900,    4.59
    61.000,    4.58
    61.100,    4.58
    61.200,    4.59
    61.300,    4.58
    61.400,    4.59
    61.500,    4.59
    61.600,    4.60
    61.700,    4.59
    61.800,    4.60
    61.900,    4.60
    62.000,    4.60
    62.100,    4.60
    62.200,    4.60
    62.300,    4.60
    62.400,    4.60
    62.500,    4.61
    62.600,    4.62
    62.700,    4.61
    62.800,    4.61
    62.900,    4.61
    63.000,    4.61
    63.100,    4.61
    63.200,    4.61
